team_a,team_b,distance_miles,tz_shift_hours,direction
MIA,SEA,2729.3,-3,west
BOS,SF,2689.5,-3,west
ATH,BOS,2624.1,3,east
BOS,LAD,2588.1,-3,west
MIA,SF,2587.3,-3,west
BOS,LAA,2578.5,-3,west
BOS,SD,2576.9,-3,west
NYM,SF,2571.7,-3,west
NYY,SF,2566.6,-3,west
ATH,MIA,2546.7,3,east
SEA,TB,2525.8,3,east
PHI,SF,2515.8,-3,west
ATH,NYM,2508.2,3,east
ATH,NYY,2503.0,3,east
BOS,SEA,2484.4,-3,west
ATH,PHI,2453.4,3,east
LAD,NYM,2453.0,3,east
BAL,SF,2449.3,-3,west
LAD,NYY,2448.4,3,east
LAA,NYM,2442.1,3,east
LAA,NYY,2437.6,3,east
NYM,SD,2436.2,-3,west
SF,WSH,2435.3,3,east
NYY,SD,2431.9,-3,west
NYM,SEA,2408.1,-3,west
NYY,SEA,2402.0,-3,west
SF,TB,2390.1,3,east
ATH,BAL,2387.9,3,east
LAD,PHI,2387.6,3,east
LAA,PHI,2376.0,3,east
PHI,SEA,2374.8,-3,west
ATH,WSH,2374.5,3,east
PHI,SD,2367.8,-3,west
ATH,TB,2348.2,3,east
LAD,MIA,2333.5,3,east
BAL,SEA,2328.1,-3,west
SEA,WSH,2324.2,3,east
BAL,LAD,2313.6,-3,west
LAA,MIA,2311.8,3,east
BAL,LAA,2301.4,-3,west
LAD,WSH,2295.2,3,east
AZ,BOS,2292.9,2,east
BAL,SD,2291.4,-3,west
LAA,WSH,2282.7,3,east
SD,WSH,2271.5,3,east
MIA,SD,2265.9,-3,west
SF,TOR,2262.3,3,east
PIT,SF,2257.9,-3,west
ATH,TOR,2196.5,3,east
ATH,PIT,2195.8,3,east
LAD,TOR,2170.0,3,east
ATL,SEA,2168.6,-3,west
SD,TOR,2164.0,3,east
LAA,TOR,2161.6,3,east
CLE,SF,2160.9,-3,west
AZ,NYM,2148.0,2,east
AZ,NYY,2143.9,2,east
LAD,TB,2142.7,3,east
PIT,SEA,2132.1,-3,west
LAD,PIT,2130.9,3,east
ATL,SF,2126.5,-3,west
LAA,TB,2121.6,3,east
LAA,PIT,2119.6,3,east
PIT,SD,2112.8,-3,west
ATH,CLE,2097.7,3,east
DET,SF,2085.3,-3,west
SD,TB,2078.4,3,east
AZ,PHI,2077.5,2,east
ATH,ATL,2075.5,3,east
SEA,TOR,2066.4,3,east
CLE,LAD,2044.5,-3,west
CIN,SF,2037.2,-3,west
CLE,LAA,2034.2,-3,west
CLE,SD,2030.8,-3,west
ATH,DET,2021.2,3,east
CLE,SEA,2021.2,-3,west
AZ,BAL,1999.7,2,east
AZ,WSH,1978.9,2,east
DET,LAD,1978.4,-3,west
ATH,CIN,1977.8,3,east
AZ,MIA,1976.4,2,east
DET,LAA,1968.9,-3,west
DET,SD,1968.4,-3,west
CIN,SEA,1967.1,-3,west
DET,SEA,1933.0,-3,west
ATL,LAD,1926.0,-3,west
ATL,LAA,1908.9,-3,west
CIN,LAD,1892.1,-3,west
HOU,SEA,1889.5,-2,west
AZ,TOR,1886.1,2,east
ATL,SD,1881.6,-3,west
CIN,LAA,1879.7,-3,west
CIN,SD,1869.0,-3,west
CWS,SF,1853.1,-2,west
CHC,SF,1851.6,-2,west
MIL,SF,1833.5,-2,west
AZ,PIT,1824.2,2,east
ATH,CWS,1790.0,2,east
ATH,CHC,1788.3,2,east
AZ,TB,1786.2,2,east
ATH,MIL,1768.7,2,east
BOS,COL,1763.5,-2,west
AZ,CLE,1745.9,2,east
CHC,LAD,1740.8,-2,west
CWS,LAD,1740.8,-2,west
SF,STL,1740.2,2,east
LAD,MIL,1737.1,2,east
CWS,SEA,1734.2,-2,west
MIL,SD,1732.8,-2,west
CHC,LAA,1731.4,-2,west
CHC,SD,1731.4,-2,west
CWS,LAA,1731.3,-2,west
CWS,SD,1730.8,-2,west
CHC,SEA,1729.7,-2,west
LAA,MIL,1728.9,2,east
COL,MIA,1723.9,2,east
SEA,STL,1720.6,2,east
AZ,DET,1687.2,2,east
MIL,SEA,1684.8,-2,west
ATH,STL,1682.8,2,east
SEA,TEX,1668.9,2,east
HOU,SF,1641.6,-2,west
COL,NYM,1635.3,2,east
COL,NYY,1630.4,2,east
ATH,HOU,1607.6,2,east
BOS,HOU,1601.3,-1,west
LAD,STL,1585.7,2,east
ATL,AZ,1582.6,-2,west
MIN,SF,1579.2,-2,west
AZ,CIN,1577.4,2,east
COL,PHI,1575.2,2,east
LAA,STL,1572.8,2,east
BOS,TEX,1562.0,-1,west
SD,STL,1561.5,2,east
MIN,SD,1530.5,-2,west
COL,TB,1520.6,2,east
LAD,MIN,1519.9,2,east
LAA,MIN,1515.2,2,east
MIA,MIN,1512.6,-1,west
ATH,MIN,1511.6,2,east
KC,SEA,1508.9,-2,west
KC,SF,1507.5,-2,west
BAL,COL,1506.2,-2,west
COL,WSH,1491.2,2,east
SF,TEX,1464.4,2,east
AZ,MIL,1458.5,1,east
AZ,CHC,1451.5,1,east
AZ,CWS,1450.4,1,east
ATH,KC,1450.2,2,east
HOU,NYM,1425.9,1,east
ATH,TEX,1424.3,2,east
HOU,NYY,1424.3,1,east
NYM,TEX,1394.8,-1,west
NYY,TEX,1392.1,-1,west
MIN,SEA,1390.7,-2,west
HOU,LAD,1371.8,-2,west
KC,LAD,1358.4,-2,west
HOU,LAA,1349.4,-2,west
KC,LAA,1346.4,-2,west
COL,TOR,1342.3,2,east
KC,SD,1338.8,-2,west
HOU,PHI,1337.9,1,east
MIN,TB,1325.4,1,east
COL,PIT,1317.1,2,east
PHI,TEX,1312.0,-1,west
HOU,SD,1301.7,-2,west
HOU,TOR,1300.2,1,east
AZ,MIN,1278.0,1,east
AZ,STL,1269.9,1,east
MIA,MIL,1269.7,-1,west
BOS,MIA,1256.4,0,same
BAL,HOU,1249.4,-1,west
BOS,KC,1241.7,-1,west
MIA,TOR,1235.1,0,same
KC,MIA,1235.0,1,east
BAL,TEX,1225.9,-1,west
CLE,COL,1224.5,-2,west
LAD,TEX,1221.5,2,east
HOU,WSH,1218.4,1,east
TEX,TOR,1215.9,1,east
ATL,COL,1202.1,-2,west
LAA,TEX,1201.6,2,east
TEX,WSH,1198.6,1,east
BOS,TB,1198.2,0,same
CHC,MIA,1194.7,1,east
CWS,MIA,1186.8,1,east
SD,TEX,1165.0,2,east
DET,MIA,1155.5,0,same
COL,DET,1154.1,2,east
HOU,PIT,1136.4,1,east
MIA,TEX,1123.0,-1,west
BOS,MIN,1119.8,-1,west
AZ,SEA,1114.0,-1,west
CLE,HOU,1114.0,-1,west
TB,TOR,1111.7,0,same
DET,HOU,1105.8,-1,west
MIA,NYY,1100.8,0,same
MIA,NYM,1097.7,0,same
KC,NYM,1097.5,1,east
MIL,TB,1095.5,1,east
KC,NYY,1093.2,1,east
CIN,COL,1091.9,-2,west
CLE,MIA,1089.2,0,same
PIT,TEX,1083.6,-1,west
SD,SEA,1063.5,0,same
MIA,STL,1060.3,-1,west
HOU,MIN,1058.0,0,same
AZ,KC,1051.5,1,east
CLE,TEX,1038.9,-1,west
KC,TB,1034.0,1,east
BOS,STL,1033.5,-1,west
KC,PHI,1029.7,1,east
NYY,TB,1029.5,0,same
NYM,TB,1027.4,0,same
MIN,NYM,1023.5,1,east
