Date,Team,Name,Pos,Age,Service Time,Transaction Details,2024 WAR,2025 WAR
5-May,BOS,John Holobetz,SP,22,,"Acquired from Brewers (PTBNL, 5/5/25) with OF Yophery Rodriguez, and 2025 Competitive Balance Round A draft pick for SP Quinn Priester",,
21-Apr,ATL,Scott Blewett,RP,29,0.102,Acquired from Orioles for cash,0.1,-0.5
21-Apr,CHC,Drew Pomeranz,RP,36,11.021,Acquired from Mariners for cash,,0.7
21-Apr,MIL,Cesar Espinal,SP,19,,"Acquired from Royals (PTBNL, 3/21/25) for OF/1B Mark Canha",,
16-Apr,MIN,Jonah Bride,INF,29,1.137,Acquired from Marlins for cash,1.1,-0.8
16-Apr,PIT,Brett Sullivan,C,31,0.11,Acquired from Padres for OF Bryce Johnson and cash,-0.1,0.1
16-Apr,SDP,Bryce Johnson,OF,29,0.164,Acquired with cash from Pirates for C Brett Sullivan,0,0.7
11-Apr,ATL,Patrick Halligan,RP,25,,"Acquired from Braves (PTBNL, 4/11) for RP Rafael Montero and cash",,
10-Apr,CHC,Tom Cosgrove,RP,29,1.085,Acquired from Padres for cash,-0.2,0.1
8-Apr,ATL,Rafael Montero,RP,34,8.095,"Acquired with cash from Astros for PTBNL (RP Patrick Halligan, 4/11)",-0.9,0.1
8-Apr,CLE,Cody Bolton,RP,27,0.148,Acquired from Mariners for cash,-0.1,0
7-Apr,BAL,Grant Wolfram,RP,28,,Acquired from Brewers for OF Daz Cameron and cash,,0.2
7-Apr,BOS,Yophery Rodriguez,OF,19,,"Acquired from Brewers with 2025 Competitive Balance Round A draft pick and PTBNL (SP John Holobetz, 5/5/25) for SP Quinn Priester",,
7-Apr,MIL,Daz Cameron,OF,28,1.162,Acquired with cash for RP Grant Wolfram,-0.4,-0.1
7-Apr,MIL,Quinn Priester,SP,24,0.134,"Acquired from Red Sox for OF Yophery Rodriguez, 2025 Competitive Balance Round A draft pick, and PTBNL (SP John Holobetz, 5/5/25)",0.1,1.9
3-Apr,ATL,Jason Delay,C,30,2.005,Acquired from Pirates for cash,0.1,
2-Apr,ATH,Carlos Duran,SP,23,,Acquired from Dodgers for OF Esteury Ruiz,,0
2-Apr,LAD,Esteury Ruiz,OF,26,2.029,Acquired from Athletics for SP Carlos Duran,-0.2,0
1-Apr,ATL,Michael Petersen,RP,31,0.053,Acquired from Angels for cash,-0.2,0
1-Apr,HOU,Nick Robertson,RP,26,0.141,Acquired from Blue Jays for SP Edinson Batista,0,
1-Apr,TOR,Edinson Batista,SP,23,,Acquired from Astros for RP Nick Robertson,,
31-Mar,ATL,Stuart Fairchild,OF,29,2.114,Acquired from Reds for cash,0.3,0
31-Mar,LAA,Jake Eder,SP,26,0.018,Acquired from White Sox for cash,0,-0.1
31-Mar,PIT,Alexander Canario,OF,25,0.062,Acquired from Mets for cash,0.2,-0.5
29-Mar,BAL,Cody Poteet,SP,30,2.095,Acquired from Cubs for cash,0.2,0
28-Mar,DET,Brewer Hicklen,OF,29,0.038,Acquired from Brewers for cash,-0.2,0.2
27-Mar,LAD,Noah Davis,SP/RP,28,0.129,Acquired from Red Sox for cash,0,-0.7
26-Mar,COL,Mickey Moniak,OF,27,3.027,Agreed to one-year contract (2025),0.1,0.6
26-Mar,MIA,Tyler Phillips,SP/RP,27,0.048,Acquired from Phillies for cash,-0.1,0.1
25-Mar,ARI,Jalen Beeks,RP,31,6.003,Agreed to one-year contract (2025),0.6,0.2
25-Mar,LAA,Nicky Lopez,INF,30,5.139,Agreed to one-year contract (2025),0.9,-0.3
24-Mar,NYY,Ryan Yarbrough,SP/RP,33,6.117,Agreed to one-year contract (2025),0,0.1
23-Mar,ATL,José Suarez,SP/RP,27,4.022,Acquired from Angels for SP Ian Anderson,0.1,0.2
