Date,Team,Name,Pos,Age,Service Time,Transaction Details,2024 WAR,2025 WAR
25-Mar,HOU,Jon Singleton,1B,33,2.069,Released,-0.1,-0.2
25-Mar,LAA,Mickey Moniak,OF,27,3.027,Released,0.1,0.6
23-Mar,COL,Jake Woodford,SP/RP,28,3.096,Released,0.1,0
23-Mar,SEA,Mitch Haniger,OF,34,8.048,Released,-0.5,
29-Jan,CLE,Pedro Avila,SP/RP,28,1.099,Cleared waivers; elected free agency,0.2,
29-Jan,WSN,Joe La Sorsa,RP,27,0.132,Cleared waivers; released,-0.1,-0.4
9-Dec,MIA,Mike Baumann,RP,29,2.072,Released,-0.4,
22-Nov,ARI,Brandon Hughes,RP,29,2.011,Non-tendered,-0.5,
22-Nov,ATH,Dany Jiménez,RP,31,2.156,Non-tendered,-0.7,
22-Nov,ATL,Ramón Laureano,OF,30,5.159,Non-tendered,0.9,3
22-Nov,ATL,Huascar Ynoa,SP,27,3.117,Non-tendered,,
22-Nov,BAL,Jacob Webb,RP,31,4.046,Non-tendered,0.7,0.2
22-Nov,CHC,Patrick Wisdom,INF/OF,33,4.058,Non-tendered,-0.2,
22-Nov,CHC,Trey Wingenter,RP,31,4.049,Non-tendered,-0.1,
22-Nov,CHC,Adbert Alzolay,RP,30,4.05,Non-tendered,-0.8,
22-Nov,CHC,Mike Tauchman,OF,34,4.143,Non-tendered,1,1.4
22-Nov,CHC,Nick Madrigal,INF,28,4.087,Non-tendered,-0.6,
22-Nov,CHC,Brennen Davis,OF,25,0.017,Non-tendered,,
22-Nov,CHW,Gavin Sheets,1B/OF,29,3.076,Non-tendered,-0.8,1.3
22-Nov,CHW,Enyel De Los Santos,RP,29,4.015,Non-tendered,-1,0.4
22-Nov,CIN,Ian Gibaut,RP,31,3.077,Non-tendered,0,0.1
22-Nov,CLE,Connor Gillispie,RP,27,0.007,Non-tendered,0.1,0
22-Nov,COL,Cal Quantrill,SP,30,5.132,Non-tendered,0.5,0.4
22-Nov,COL,Brendan Rodgers,2B,28,5.075,Non-tendered,0.8,-0.3
22-Nov,LAA,Patrick Sandoval,SP,28,4.149,Non-tendered,1.2,
22-Nov,LAA,Eric Wagaman,INF/OF,27,0.02,Non-tendered,0,-0.4
22-Nov,LAA,Jordyn Adams,OF,25,0.066,Non-tendered,0.1,-0.1
22-Nov,LAD,Brent Honeywell,RP,30,2.045,Non-tendered,0.1,
22-Nov,LAD,Zach Logue,SP,29,0.112,Non-tendered,0,
22-Nov,MIL,Hoby Milner,RP,34,5.068,Non-tendered,0.9,1
22-Nov,NYM,Alex Young,RP,31,4.085,Non-tendered,0,
22-Nov,NYY,Jon Berti,INF/OF,35,5.168,Non-tendered,0.3,-0.5
22-Nov,NYY,Tim Mayza,RP,33,5.129,Non-tendered,-0.1,0
22-Nov,PHI,Austin Hays,OF,29,5.057,Non-tendered,0.2,1.2
22-Nov,PIT,Bryan De La Cruz,OF,28,3.056,Non-tendered,-1.1,-0.4
22-Nov,PIT,Connor Joe,1B/OF,32,3.136,Non-tendered,0.5,-0.8
22-Nov,SDP,Bryce Johnson,OF,29,0.164,Non-tendered,0,0.7
22-Nov,SEA,JT Chargois,RP,34,5.101,Non-tendered,-0.2,
22-Nov,SEA,Austin Voth,RP,33,5.115,Non-tendered,0,
22-Nov,SEA,Sam Haggerty,INF/OF,31,4.036,Non-tendered,-0.2,0.2
22-Nov,SEA,Josh Rojas,INF,31,4.126,Non-tendered,1.8,-1.3
22-Nov,STL,Adam Kloffenstein,SP,24,0.001,Non-tendered,0,
22-Nov,TBR,Colin Poche,RP,31,5.114,Non-tendered,-0.3,-0.2
22-Nov,TBR,Tyler Alexander,SP,30,5.011,Non-tendered,-0.6,1.3
22-Nov,TBR,Richard Lovelady,RP,29,3.008,Non-tendered,0.1,-0.3
22-Nov,TBR,Dylan Carlson,OF,26,4.104,Non-tendered,-1.1,-0.4
22-Nov,TOR,Jordan Romano,RP,32,5.051,Non-tendered,-0.3,-0.4
22-Nov,WSN,Tanner Rainey,RP,32,5.127,Non-tendered,-0.2,0.1
20-Nov,TEX,Sandro Fabian,OF,27,0.026,Released,-0.1,
19-Nov,TEX,Carson Coleman,RP,27,1,Returned to Yankees (Rule 5),,
14-Nov,LAA,Guillo Zuñiga,RP,26,0.129,Cleared waivers; released,-0.5,
14-Nov,LAD,Connor Brogdon,RP,30,3.139,Outrighted to minors; elected free agency,-0.6,-0.3
