Date,Team,Name,Pos,Age,Service Time,Transaction Details,2025 WAR,Proj. WAR
12-Feb,PHI,Nick Castellanos,OF,34,12.029,Released,-0.6,0.1
5-Feb,WSN,Konnor Pilkington,RP,28,0.152,Cleared waivers; elected free agency,-0.5,0
23-Jan,SEA,Samad Taylor,INF/OF,27,0.078,Outrighted to minors; elected free agency,-0.1,0
9-Jan,WSN,Sauryn Lao,SP/RP,26,0.024,Released,0,
17-Dec,NYY,Allan Winans,SP/RP,30,0.051,Released,-0.1,
10-Dec,MIN,Carson McCusker,OF,28,0.035,Released,-0.4,
6-Dec,COL,Warming Bernabel,1B/3B,24,0.065,Outrighted to minors; elected free agency,-0.4,
25-Nov,TOR,Easton Lucas,SP/RP,29,0.077,Released,0,
21-Nov,ATH,JJ Bleday,OF,28,3.029,Non-tendered,-0.1,0.6
21-Nov,ATL,Alek Manoah,SP,28,4.063,Non-tendered,,0.8
21-Nov,ATL,Carson Ragsdale,SP,28,0.015,Non-tendered,0,
21-Nov,BOS,Nathaniel Lowe,1B,30,5.145,Non-tendered,-0.4,0.2
21-Nov,BOS,Josh Winckowski,SP/RP,28,3.003,Non-tendered,0.2,
21-Nov,CHC,Reese McGuire,C,31,5.11,Non-tendered,0.7,0
21-Nov,CHC,Eli Morgan,RP,30,4.091,Non-tendered,-0.3,0
21-Nov,CHW,Cam Booser,RP,34,1.105,Non-tendered,-0.6,0
21-Nov,CHW,Mike Tauchman,OF,35,5.143,Non-tendered,1.4,0.1
21-Nov,CLE,Sam Hentges,RP,29,4.157,Non-tendered,,0.2
21-Nov,CLE,Nic Enright,RP,29,0.168,Non-tendered,0.2,
21-Nov,CLE,Will Brennan,OF,28,2.155,Non-tendered,-0.1,0.1
21-Nov,COL,Michael Toglia,1B,27,2.039,Non-tendered,-2.2,
21-Nov,DET,Andy Ibáñez,INF,33,3.133,Non-tendered,0.4,0.5
21-Nov,DET,Jason Foley,RP,30,3.15,Non-tendered,,0.1
21-Nov,HOU,Ramón Urías,INF,32,5.025,Non-tendered,1.1,0.8
21-Nov,KCR,Taylor Clarke,RP,33,5.148,Non-tendered,0.3,0
21-Nov,KCR,MJ Melendez,OF,27,3.015,Non-tendered,-0.6,0
21-Nov,MIN,DaShawn Keirsey Jr.,OF,29,0.169,Non-tendered,-0.9,
21-Nov,NYM,José Castillo,RP,30,4.112,Non-tendered,-0.1,
21-Nov,NYM,Danny Young,RP,32,1.16,Non-tendered,0.2,0
21-Nov,NYM,Max Kranick,RP,28,3.011,Non-tendered,0.3,
21-Nov,NYY,Ian Hamilton,RP,31,3.081,Non-tendered,0,0.1
21-Nov,NYY,Mark Leiter Jr.,RP,35,5.031,Non-tendered,0.6,0.6
21-Nov,NYY,Scott Effross,RP,32,3.063,Non-tendered,0,0
21-Nov,NYY,Jake Cousins,RP,31,3.091,Non-tendered,,
21-Nov,PHI,Daniel Robert,RP,31,0.108,Non-tendered,-0.1,
21-Nov,PIT,Dauri Moreta,RP,30,3.056,Non-tendered,0.1,0.2
21-Nov,PIT,Colin Holderman,RP,30,3.12,Non-tendered,-0.5,0
21-Nov,PIT,Alexander Canario,OF,26,1.062,Non-tendered,-0.5,
21-Nov,SDP,Sean Reynolds,RP,28,0.163,Non-tendered,-0.3,
21-Nov,SEA,Tayler Saucedo,RP,33,3.146,Non-tendered,-0.1,0
21-Nov,SEA,Trent Thornton,RP,32,5.148,Non-tendered,-0.3,0
21-Nov,SEA,Gregory Santos,RP,26,3.055,Non-tendered,-0.2,0
21-Nov,SFG,Joey Lucchesi,RP,33,5.047,Non-tendered,0.1,0.1
21-Nov,SFG,Andrew Knizner,C,31,5.09,Non-tendered,0.2,0.3
21-Nov,STL,Jorge Alcala,RP,30,5.165,Non-tendered,-0.5,0
21-Nov,STL,John King,RP,31,4.148,Non-tendered,-0.4,0
21-Nov,TBR,Christopher Morel,OF,27,3.117,Non-tendered,-0.1,0.3
21-Nov,TEX,Jonah Heim,C,31,5.097,Non-tendered,-0.5,0.1
21-Nov,TEX,Jacob Webb,RP,32,5.046,Non-tendered,0.2,0
21-Nov,TEX,Adolis García,OF,33,5.095,Non-tendered,0.7,1.5
18-Nov,CHW,Fraser Ellard,RP,28,1.019,Retired,0,
18-Nov,DET,Alex Lange,RP,30,3.145,Cleared waivers; released,0,0.1
14-Nov,TOR,Nick Sandlin,RP,29,4.157,Outrighted to minors; elected free agency,0,0
12-Nov,LAD,Tony Gonsolin,SP,32,5.152,Outrighted to minors; elected free agency,-0.1,
12-Nov,TBR,Bob Seymour,1B,27,0.045,Outrighted to minors; released,-0.3,
6-Nov,ARI,Austin Pope,RP,27,0.008,Outrighted to minors,0,
6-Nov,ATL,Pierce Johnson,RP,35,6.137,Club option declined,0.3,0.2
6-Nov,ATL,Chuckie Robinson,C,31,0.152,Outrighted to minors; elected free agency,0,
6-Nov,ATL,David Fletcher,INF,32,5.006,Club option declined,,
6-Nov,ATL,Carlos Rodríguez,OF,25,0,Outrighted to minors; elected free agency,,
6-Nov,ATL,Austin Cox,RP,29,0.149,Outrighted to minors; elected free agency,-0.6,
6-Nov,BAL,Dylan Carlson,OF,27,5.067,Outrighted to minors; elected free agency,-0.4,0
6-Nov,BAL,Daniel Johnson,OF,30,1.025,Cleared waivers; elected free agency,-0.1,
6-Nov,BAL,Shawn Dubin,RP,30,1.156,Outrighted to minors; elected free agency,-0.1,
6-Nov,CHC,Justin Turner,1B,41,15.045,Mutual option declined by team,-0.3,0
6-Nov,CLE,Matt Krook,RP,31,0.055,Outrighted to minors; elected free agency,0.1,
6-Nov,CLE,Will Wilson,INF,27,0.074,Outrighted to minors; elected free agency,-0.5,
6-Nov,COL,Thairo Estrada,2B,30,5.153,Outrighted to minors; elected free agency,-0.3,0.6
6-Nov,DET,Paul Sewald,RP,36,7.072,Mutual option declined by team,0,0
6-Nov,DET,José Urquidy,SP,31,6.049,Club option declined,0,0.3
6-Nov,HOU,Chas McCormick,OF,31,4.161,Cleared waivers; elected free agency,-0.2,0.2
6-Nov,HOU,Luis Garcia,SP,29,5.083,Cleared waivers; elected free agency,0.1,
6-Nov,HOU,John Rooney,RP,29,0.057,Cleared waivers; outrighted to minors,-0.1,
6-Nov,HOU,Kenedy Corona,OF,26,0.012,Cleared waivers; outrighted to minors,0,
6-Nov,KCR,Kyle Wright,SP,30,4.151,Cleared waivers; elected free agency,,0
6-Nov,KCR,Sam Long,RP,30,3.121,Outrighted to minors; elected free agency,-0.4,
6-Nov,LAD,Michael Grove,RP,29,3.031,Outrighted to minors,,
6-Nov,MIA,Jack Winkler,INF,27,0.071,Outrighted to minors; elected free agency,-0.2,
6-Nov,MIA,Christian Roa,RP,27,0.065,Outrighted to minors; elected free agency,0,
6-Nov,MIN,Michael Tonkin,RP,36,5.044,Outrighted to minors; elected free agency,-0.1,0
6-Nov,MIN,Thomas Hatch,SP/RP,31,2.098,Outrighted to minors; elected free agency,-0.3,
