team,name,position,il_type,mlb_id,fg_id,war,war_source,war_impact,is_pitcher
ATH,Brady Basso,P,Injured 60-Day,669620,,,unknown,0.0,True
ATH,Grant Holman,P,Injured 60-Day,680880,,,unknown,0.0,True
ATH,Gunnar Hoglund,P,Injured 60-Day,680684,,,unknown,0.0,True
ATH,José Leclerc,P,Injured 60-Day,600917,14524,0.0,current,0.0,True
ATH,Ken Waldichuk,P,Injured 60-Day,686610,27681,,unknown,0.0,True
ATH,Luis Medina,P,Injured 60-Day,665622,21649,0.4,prior_year,0.4,True
ATL,AJ Smith-Shawver,P,Injured 60-Day,700363,29960,0.6,current,0.6,True
ATL,Austin Riley,3B,Injured 10-Day,663586,18360,1.7,current,1.7,False
ATL,Chris Sale,P,Injured 60-Day,519242,10603,3.6,current,3.6,True
ATL,Joe Jiménez,P,Injured 60-Day,641729,15761,1.8,prior_year,1.8,True
ATL,Reynaldo López,P,Injured 60-Day,625643,16400,0.0,current,0.0,True
ATL,Spencer Schwellenbach,P,Injured 60-Day,680885,,,unknown,0.0,True
AZ,A.J. Puk,P,Injured 60-Day,640462,19343,0.0,current,0.0,True
AZ,Blake Walston,P,Injured 60-Day,686796,,,unknown,0.0,True
AZ,Christian Montes De Oca,P,Injured 60-Day,801216,,,unknown,0.0,True
AZ,Corbin Burnes,P,Injured 60-Day,669203,19361,0.7,current,0.7,True
AZ,Cristian Mena,P,Injured 60-Day,691441,,,unknown,0.0,True
AZ,Gabriel Moreno,C,Injured 10-Day,672515,22664,2.7,current,2.7,False
AZ,Ildemaro Vargas,2B,Injured 10-Day,545121,13324,0.2,current,0.2,False
AZ,Jalen Beeks,P,Injured 15-Day,656222,17192,0.2,current,0.2,True
AZ,Jordan Montgomery,P,Injured 60-Day,656756,16511,0.6,prior_year,0.6,True
AZ,Justin Martinez,P,Injured 60-Day,679885,24453,0.1,current,0.1,True
AZ,Pavin Smith,1B,Injured 10-Day,656976,19892,0.7,current,0.7,False
AZ,Ryan Thompson,P,Injured 15-Day,657044,16647,0.2,current,0.2,True
AZ,Shelby Miller,P,Injured 15-Day,571946,10197,0.6,current,0.6,True
AZ,Tommy Henry,P,Injured 60-Day,674072,26285,0.0,current,0.0,True
BAL,Adley Rutschman,C,Injured 10-Day,668939,26288,1.2,current,1.2,False
BAL,Albert Suárez,P,Injured 60-Day,544150,6175,0.3,current,0.3,True
BAL,Cade Povich,P,Injured 15-Day,700249,,,unknown,0.0,True
BAL,Chadwick Tromp,C,Injured 10-Day,644433,16953,-0.1,current,0.0,False
BAL,Cody Poteet,P,Injured 60-Day,547001,18769,0.0,current,0.0,True
BAL,Gary Sánchez,C,Injured 10-Day,596142,11442,-0.1,current,0.0,False
BAL,Grayson Rodriguez,P,Injured 60-Day,680570,24492,2.0,prior_year,2.0,True
BAL,Jorge Mateo,SS,Injured 60-Day,622761,17273,-0.1,current,0.0,False
BAL,Keegan Akin,P,Injured 15-Day,669211,19362,0.0,current,0.0,True
BAL,Kyle Bradish,P,Injured 60-Day,680694,24586,1.1,current,1.1,True
BAL,Maverick Handley,C,Injured 7-Day,668974,,,unknown,0.0,False
BAL,Ryan Mountcastle,1B,Injured 60-Day,663624,18373,-0.4,current,0.0,False
BAL,Scott Blewett,P,Injured 15-Day,656240,16427,0.0,current,0.0,True
BAL,Tyler Wells,P,Injured 60-Day,669330,20000,0.3,current,0.3,True
BAL,Zach Eflin,P,Injured 15-Day,621107,13774,0.0,current,0.0,True
BOS,Hunter Dobbins,P,Injured 15-Day,690928,,,unknown,0.0,True
BOS,Josh Winckowski,P,Injured 60-Day,670174,22387,0.2,current,0.2,True
BOS,Justin Slaten,P,Injured 60-Day,686580,25648,0.4,current,0.4,True
BOS,Kutter Crawford,P,Injured 60-Day,676710,20531,1.8,prior_year,1.8,True
BOS,Liam Hendriks,P,Injured 60-Day,521230,3548,0.0,current,0.0,True
BOS,Luis Guerrero,P,Injured 15-Day,692285,,,unknown,0.0,True
BOS,Nick Burdi,P,Injured 60-Day,595897,16074,0.1,current,0.1,True
BOS,Patrick Sandoval,P,Injured 60-Day,663776,19447,1.2,prior_year,1.2,True
BOS,Triston Casas,1B,Injured 60-Day,671213,22514,-0.6,current,0.0,False
BOS,Zack Kelly,P,Injured 15-Day,677161,20349,0.4,current,0.4,True
CHC,Eli Morgan,P,Injured 60-Day,669212,20203,0.0,current,0.0,True
CHC,Jameson Taillon,P,Injured 15-Day,592791,11674,1.1,current,1.1,True
CHC,Javier Assad,P,Injured 60-Day,665871,21741,0.3,current,0.3,True
CHC,Justin Steele,P,Injured 60-Day,657006,17312,0.0,current,0.0,True
CHC,Miguel Amaya,C,Injured 7-Day,665804,21693,0.8,current,0.8,False
CHC,Porter Hodge,P,Injured 15-Day,687863,,,unknown,0.0,True
CIN,Brandon Williamson,P,Injured 60-Day,682227,25463,0.0,prior_year,0.0,True
CIN,Carson Spiers,P,Injured 60-Day,686730,27685,0.0,current,0.0,True
CIN,Hunter Greene,P,Injured 15-Day,668881,22182,2.9,current,2.9,True
CIN,Ian Gibaut,P,Injured 15-Day,664139,17871,0.1,current,0.1,True
