team,il_count,il_pitchers,il_position,total_war_lost,pitcher_war_lost,position_war_lost,players_mapped
HOU,16,7,9,10.4,1.9,8.5,12
ATL,6,5,1,7.7,6.0,1.7,5
AZ,14,11,3,6.0,2.4,3.6,11
LAD,12,10,2,5.9,3.0,2.9,10
NYY,9,8,1,5.7,5.6,0.1,9
NYM,15,11,4,5.6,4.9,0.7,13
KC,8,6,2,5.3,5.3,0.0,8
BAL,15,9,6,4.9,3.7,1.2,13
MIL,6,3,3,4.9,0.0,4.9,4
MIN,4,3,1,4.4,4.4,0.0,3
BOS,10,9,1,4.1,4.1,0.0,8
TEX,7,4,3,4.0,3.8,0.2,7
TOR,10,7,3,3.4,0.2,3.2,8
TB,8,5,3,3.1,0.7,2.4,5
CIN,8,7,1,3.0,3.0,0.0,5
CLE,10,7,3,2.6,1.5,1.1,8
PIT,8,6,2,2.6,2.5,0.1,7
CWS,11,8,3,2.5,2.5,0.0,7
SD,3,3,0,2.5,2.5,0.0,3
WSH,7,5,2,2.3,2.3,0.0,4
CHC,6,5,1,2.2,1.4,0.8,5
DET,9,8,1,2.2,0.7,1.5,7
MIA,7,5,2,2.2,2.2,0.0,5
PHI,1,1,0,0.9,0.9,0.0,1
COL,4,1,3,0.8,0.0,0.8,3
STL,3,1,2,0.8,0.0,0.8,3
ATH,6,6,0,0.4,0.4,0.0,2
SEA,5,3,2,0.2,0.2,0.0,4
SF,4,1,3,0.2,0.1,0.1,3
LAA,6,3,3,0.1,0.1,0.0,5
