date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2023-03-30,WSH,ATL,2,7,1396.0,1678.2,0,0,0,0.2703,0,0.3151,0.073
2023-03-30,NYY,SF,5,0,1646.1,1575.6,0,0,0,0.6385,1,0.4487,0.1307
2023-03-30,BOS,BAL,9,10,1515.9,1524.6,0,0,0,0.553,0,0.8052,0.3058
2023-03-30,CHC,MIL,4,0,1540.2,1541.3,0,0,0,0.5616,1,0.5769,0.1922
2023-03-30,TB,DET,4,0,1554.8,1499.0,0,0,0,0.6234,1,0.4726,0.1418
2023-03-30,TEX,PHI,11,7,1450.7,1551.3,0,0,0,0.4477,1,0.8035,0.305
2023-03-30,CIN,PIT,4,5,1374.1,1460.5,0,0,0,0.464,0,0.6236,0.2153
2023-03-30,STL,TOR,9,10,1574.7,1652.7,0,0,0,0.4735,0,0.6416,0.2242
2023-03-30,KC,MIN,0,2,1478.2,1482.3,0,0,0,0.5581,0,0.8167,0.3115
2023-03-30,MIA,NYM,3,5,1504.6,1594.4,0,0,0,0.46,0,0.6162,0.2116
2023-03-30,HOU,CWS,2,3,1681.1,1467.8,0,0,0,0.7593,0,1.4244,0.5766
2023-03-30,SD,COL,2,7,1571.4,1442.4,0,0,0,0.694,0,1.1843,0.4817
2023-03-30,ATH,LAA,2,1,1466.1,1537.3,0,0,0,0.4813,1,0.7312,0.269
2023-03-30,LAD,AZ,8,2,1667.4,1549.2,0,0,0,0.6844,1,0.3793,0.0996
2023-03-30,SEA,CLE,3,0,1584.4,1635.9,0,0,0,0.504,1,0.6851,0.246
2023-03-31,MIA,NYM,2,1,1495.1,1603.9,0,0,0,0.4385,1,0.8244,0.3153
2023-03-31,HOU,CWS,6,3,1670.7,1478.2,0,0,0,0.7449,1,0.2945,0.0651
2023-03-31,SD,COL,1,4,1546.3,1467.5,0,0,0,0.6468,0,1.0407,0.4184
2023-03-31,LAD,AZ,1,2,1677.4,1539.3,0,0,0,0.7019,0,1.2104,0.4927
2023-03-31,SEA,CLE,4,9,1597.8,1622.5,0,0,0,0.5348,0,0.7653,0.286
2023-04-01,HOU,CWS,6,4,1675.7,1473.2,0,0,0,0.7519,1,0.2852,0.0616
2023-04-01,STL,TOR,4,1,1568.5,1659.0,0,0,0,0.4593,1,0.7781,0.2924
2023-04-01,CHC,MIL,1,3,1553.8,1527.7,0,0,0,0.5918,0,0.896,0.3502
2023-04-01,TEX,PHI,16,3,1468.1,1533.9,0,0,0,0.4875,1,0.7184,0.2626
2023-04-01,WSH,ATL,1,7,1389.2,1685.0,0,0,0,0.2601,0,0.3012,0.0676
2023-04-01,NYY,SF,5,7,1657.5,1564.3,0,0,0,0.6609,0,1.0816,0.4369
2023-04-01,ATH,LAA,1,13,1473.1,1530.3,0,0,0,0.4975,0,0.6882,0.2475
