date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2024-03-20,SD,LAD,2,5,1647.2,1652.2,-1.7,45.9,0,0.5028,0,0.6987,0.2528
2024-03-21,LAD,SD,11,15,1668.0,1631.4,57.1,3.5,0,0.6581,0,1.0731,0.4331
2024-03-28,BAL,LAA,11,3,1623.1,1422.8,19.9,7.1,0,0.7591,1,0.2756,0.058
2024-03-28,CIN,WSH,8,2,1505.0,1446.9,-35.3,-75.3,0,0.6657,1,0.4069,0.1118
2024-03-28,SD,SF,6,4,1651.3,1431.7,-1.7,43.9,0,0.7312,1,0.3131,0.0723
2024-03-28,LAD,STL,7,1,1648.1,1482.8,45.9,-7.7,0,0.7629,1,0.2706,0.0562
2024-03-28,TB,TOR,2,8,1633.8,1577.0,14.7,-26.9,0,0.666,0,1.0965,0.4435
2024-03-28,KC,MIN,1,4,1480.0,1624.2,41.9,15.9,0,0.428,0,0.5587,0.1832
2024-03-28,CWS,DET,0,1,1354.1,1560.8,54.3,61.9,0,0.3284,0,0.3981,0.1079
2024-03-28,MIA,PIT,5,6,1586.2,1524.0,-8.9,-1.3,0,0.6221,0,0.9731,0.387
2024-03-28,HOU,NYY,4,5,1607.0,1528.7,31.9,8.3,0,0.6693,0,1.1065,0.4479
2024-03-28,TEX,CHC,4,3,1560.3,1554.8,8.3,32.3,0,0.5419,1,0.6126,0.2098
2024-03-28,ATH,CLE,0,8,1414.1,1475.6,-50.5,158.3,0,0.2796,0,0.328,0.0782
2024-03-28,AZ,COL,16,1,1528.9,1418.9,26.7,-34.5,0,0.7289,1,0.3162,0.0735
2024-03-28,SEA,BOS,4,6,1566.4,1479.3,5.1,-5.7,0,0.6655,0,1.0952,0.4429
2024-03-29,NYM,MIL,1,3,1580.9,1661.5,-20.9,-4.5,0,0.4519,0,0.6013,0.2042
2024-03-29,PHI,ATL,3,9,1650.2,1619.9,36.7,-40.5,0,0.6745,0,1.1225,0.455
2024-03-29,TB,TOR,8,2,1608.9,1601.9,-26.1,-1.3,0,0.5427,1,0.6111,0.2091
2024-03-29,MIA,PIT,2,7,1577.2,1533.0,15.9,-36.1,0,0.6639,0,1.0904,0.4408
2024-03-29,HOU,NYY,1,7,1597.8,1537.8,-28.5,-13.7,0,0.6123,0,0.9474,0.3749
2024-03-29,AZ,COL,7,3,1543.7,1404.2,-8.5,-50.9,0,0.737,1,0.3051,0.0691
2024-03-29,ATH,CLE,4,6,1393.1,1496.6,5.9,-72.9,0,0.5348,0,0.7654,0.2861
2024-03-29,SEA,BOS,1,0,1551.8,1493.9,31.1,-0.9,0,0.6577,1,0.419,0.1172
2024-03-29,SD,SF,3,8,1654.7,1428.2,3.5,-11.7,0,0.7772,0,1.5017,0.6041
2024-03-29,LAD,STL,6,3,1656.0,1474.9,-116.9,-117.7,0,0.7371,1,0.305,0.0691
2024-03-30,NYM,MIL,6,7,1571.1,1671.3,-6.9,-25.3,0,0.4692,0,0.6333,0.2201
2024-03-30,CWS,DET,6,7,1350.3,1564.5,-36.1,-36.9,0,0.3293,0,0.3994,0.1084
2024-03-30,BAL,LAA,13,4,1630.6,1415.3,15.1,-48.5,0,0.7979,1,0.2258,0.0408
2024-03-30,PHI,ATL,4,12,1626.4,1643.7,3.9,28.3,0,0.5153,0,0.7242,0.2655
2024-03-30,ATH,CLE,3,12,1384.1,1505.6,-26.9,19.5,0,0.3744,0,0.469,0.1402
2024-03-30,CIN,WSH,6,7,1518.0,1433.9,22.7,-14.9,0,0.6875,0,1.1633,0.4727
2024-03-30,TB,TOR,5,1,1624.9,1585.9,6.3,15.5,0,0.5957,1,0.518,0.1634
2024-03-30,KC,MIN,1,5,1470.2,1633.9,31.9,23.9,0,0.3872,0,0.4898,0.1499
2024-03-30,MIA,PIT,3,9,1554.8,1555.4,-2.9,1.5,0,0.5571,0,0.8145,0.3104
2024-03-30,TEX,CHC,11,2,1566.1,1549.1,18.3,-37.7,0,0.641,1,0.4447,0.1289
2024-03-30,SD,SF,6,9,1627.6,1455.4,37.9,-12.9,0,0.7657,0,1.451,0.5862
2024-03-30,HOU,NYY,3,5,1572.8,1562.8,18.3,-23.3,0,0.619,0,0.9651,0.3832
2024-03-30,AZ,COL,4,9,1551.1,1396.8,-93.3,-31.7,0,0.6605,0,1.0804,0.4363
2024-03-30,LAD,STL,5,6,1661.3,1469.7,57.1,-10.5,0,0.7874,0,1.5482,0.6199
2024-03-30,SEA,BOS,4,3,1556.4,1489.3,31.1,-24.1,0,0.6881,1,0.3739,0.0973
2024-03-31,BAL,LAA,1,4,1637.9,1408.0,-22.5,-27.3,0,0.773,0,1.4829,0.5976
