date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,home_bp_adj,away_bp_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2025-03-18,CHC,LAD,1,4,1591.1,1675.0,0,0,0,0,0,0.4667,0,0.6287,0.2178
2025-03-19,CHC,LAD,3,6,1578.8,1687.3,0,0,0,0,0,0.4389,0,0.5779,0.1927
2025-03-27,NYY,MIL,4,2,1553.4,1610.8,0,0,0,0,0,0.4972,1,0.6987,0.2528
2025-03-27,TOR,BAL,2,12,1466.1,1536.3,0,0,0,0,0,0.4825,0,0.6588,0.2329
2025-03-27,TEX,BOS,2,5,1497.4,1499.3,0,0,0,0,0,0.5607,0,0.8226,0.3144
2025-03-27,WSH,PHI,3,7,1471.8,1584.5,0,0,0,0,0,0.4342,0,0.5696,0.1886
2025-03-27,KC,CLE,4,7,1546.5,1552.9,0,0,0,0,0,0.5556,0,0.8109,0.3086
2025-03-27,HOU,NYM,3,1,1616.6,1630.1,0,0,0,0,0,0.5475,1,0.6023,0.2047
2025-03-27,CIN,SF,4,6,1510.3,1566.9,0,0,0,0,0,0.4982,0,0.6895,0.2482
2025-03-27,SD,ATL,7,4,1657.5,1630.0,0,0,0,0,0,0.5933,1,0.5221,0.1654
2025-03-27,CWS,LAA,8,1,1390.0,1347.5,0,0,0,0,0,0.6093,1,0.4954,0.1526
2025-03-27,MIA,PIT,5,4,1508.9,1481.0,0,0,0,0,0,0.5936,1,0.5215,0.1651
2025-03-27,STL,MIN,5,3,1589.8,1399.6,0,0,0,0,0,0.7432,1,0.2968,0.0659
2025-03-27,LAD,DET,5,4,1698.5,1583.5,0,0,0,0,0,0.6815,1,0.3835,0.1014
2025-03-27,AZ,CHC,6,10,1624.6,1567.6,0,0,0,0,0,0.6247,0,0.9799,0.3902
2025-03-27,SEA,ATH,4,2,1638.6,1435.1,0,0,0,0,0,0.7527,1,0.2841,0.0612
2025-03-28,TB,COL,3,2,1559.2,1444.0,0,0,0,0,0,0.6816,1,0.3833,0.1014
2025-03-28,TOR,BAL,8,2,1443.9,1558.5,0,0,0,0,0,0.432,1,0.8393,0.3226
2025-03-28,MIA,PIT,3,4,1514.1,1475.8,0,0,0,0,0,0.6049,0,0.9287,0.366
2025-03-28,TEX,BOS,4,1,1481.5,1515.2,0,0,0,0,0,0.5244,1,0.6455,0.2262
2025-03-28,HOU,NYM,1,3,1626.2,1620.5,0,0,0,0,0,0.5692,0,0.8421,0.324
2025-03-28,AZ,CHC,8,1,1604.0,1588.2,0,0,0,0,0,0.5804,1,0.544,0.176
2025-03-28,SEA,ATH,0,7,1642.3,1431.4,0,0,0,0,0,0.7577,0,1.4176,0.5741
2025-03-28,SD,ATL,4,3,1668.0,1619.5,0,0,0,0,0,0.6158,1,0.4848,0.1476
2025-03-28,LAD,DET,8,5,1702.1,1579.9,0,0,0,0,0,0.688,1,0.374,0.0973
2025-03-29,NYY,MIL,20,9,1564.2,1600.0,0,0,0,0,0,0.522,1,0.65,0.2284
2025-03-29,CWS,LAA,0,1,1404.8,1332.7,0,0,0,0,0,0.6401,0,1.022,0.4098
2025-03-29,STL,MIN,5,1,1593.8,1395.6,0,0,0,0,0,0.7489,1,0.2892,0.0631
2025-03-29,TOR,BAL,5,9,1465.5,1536.9,0,0,0,0,0,0.4812,0,0.6562,0.2316
2025-03-29,WSH,PHI,6,11,1459.0,1597.3,0,0,0,0,0,0.406,0,0.5208,0.1648
2025-03-29,KC,CLE,4,3,1530.7,1568.6,0,0,0,0,0,0.5197,1,0.6546,0.2307
2025-03-29,CIN,SF,3,2,1499.6,1577.5,0,0,0,0,0,0.4737,1,0.7472,0.277
2025-03-29,TB,COL,1,2,1562.8,1440.5,0,0,0,0,0,0.6881,0,1.1652,0.4735
2025-03-29,MIA,PIT,5,4,1505.5,1484.4,0,0,0,0,0,0.5863,1,0.534,0.1712
2025-03-29,TEX,BOS,4,3,1494.3,1502.4,0,0,0,0,0,0.5536,1,0.5912,0.1992
2025-03-29,HOU,NYM,2,1,1613.4,1633.4,0,0,0,0,0,0.5402,1,0.6159,0.2114
2025-03-29,SD,ATL,1,0,1672.8,1614.7,0,0,0,0,0,0.6259,1,0.4686,0.14
2025-03-29,AZ,CHC,3,4,1620.5,1571.7,0,0,0,0,0,0.6161,0,0.9574,0.3796
2025-03-29,LAD,DET,7,3,1709.0,1572.9,0,0,0,0,0,0.7003,1,0.3563,0.0898
2025-03-29,SEA,ATH,2,4,1611.1,1462.6,0,0,0,0,0,0.7108,0,1.2405,0.5052
2025-03-30,WSH,PHI,5,1,1446.1,1610.2,0,0,0,0,0,0.3784,1,0.9717,0.3863
2025-03-30,NYY,MIL,12,3,1587.3,1576.9,0,0,0,0,0,0.5744,1,0.5545,0.1811
2025-03-30,TOR,BAL,3,1,1450.7,1551.7,0,0,0,0,0,0.4473,1,0.8046,0.3055
2025-03-30,CIN,SF,3,6,1506.8,1570.4,0,0,0,0,0,0.4901,0,0.6735,0.2402
2025-03-30,TB,COL,6,4,1553.2,1450.1,0,0,0,0,0,0.6704,1,0.3999,0.1086
2025-03-30,MIA,PIT,3,2,1510.9,1479.0,0,0,0,0,0,0.598,1,0.5141,0.1616
2025-03-30,KC,CLE,2,6,1537.2,1562.2,0,0,0,0,0,0.5345,0,0.7646,0.2857
2025-03-30,CWS,LAA,2,3,1395.7,1341.7,0,0,0,0,0,0.6215,0,0.9715,0.3863
2025-03-30,STL,MIN,9,2,1599.4,1390.1,0,0,0,0,0,0.7566,1,0.2789,0.0592
2025-03-30,TEX,BOS,3,2,1500.3,1496.4,0,0,0,0,0,0.5671,1,0.5672,0.1874
2025-03-30,AZ,CHC,10,6,1611.8,1580.5,0,0,0,0,0,0.5974,1,0.5152,0.1621
2025-03-30,SEA,ATH,2,1,1595.4,1478.3,0,0,0,0,0,0.6834,1,0.3807,0.1002
2025-03-30,SD,ATL,5,0,1677.5,1610.0,0,0,0,0,0,0.6354,1,0.4535,0.1329
2025-03-31,CWS,MIN,9,0,1386.9,1383.3,0,0,0,0,0,0.5669,1,0.5676,0.1876
2025-03-31,MIL,KC,1,11,1558.3,1519.9,0,0,0,0,0,0.605,0,0.9288,0.366
2025-03-31,BAL,BOS,8,5,1539.9,1490.7,0,0,0,0,0,0.6165,1,0.4837,0.1471
2025-03-31,PHI,COL,6,1,1590.6,1444.1,0,0,0,0,0,0.7091,1,0.3438,0.0846
2025-03-31,CIN,TEX,14,3,1493.6,1506.0,0,0,0,0,0,0.5488,1,0.6,0.2036
2025-03-31,MIA,NYM,4,10,1516.1,1627.2,0,0,0,0,0,0.436,0,0.5726,0.1901
2025-03-31,TB,PIT,6,1,1559.2,1473.8,0,0,0,0,0,0.6533,1,0.4257,0.1202
