date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2025-03-18,CHC,LAD,1,4,1591.1,1675.0,-17.2,30.8,0,0.391,0,0.4959,0.1529
2025-03-19,CHC,LAD,3,6,1578.8,1687.3,-19.2,-40.7,0,0.4541,0,0.6054,0.2062
2025-03-27,NYY,MIL,4,2,1553.4,1610.8,9.8,13.3,0,0.4915,1,0.7103,0.2586
2025-03-27,TOR,BAL,2,12,1466.1,1536.3,-11.9,-36.7,0,0.5138,0,0.7211,0.264
2025-03-27,TEX,BOS,2,5,1497.4,1499.3,34.6,32.3,0,0.579,0,0.8652,0.3353
2025-03-27,WSH,PHI,3,7,1471.8,1584.5,10.8,29.3,0,0.3921,0,0.4978,0.1538
2025-03-27,KC,CLE,4,7,1546.5,1552.9,41.8,-10.4,0,0.6412,0,1.0249,0.4111
2025-03-27,HOU,NYM,3,1,1616.6,1630.1,20.1,1.6,0,0.5855,1,0.5353,0.1718
2025-03-27,CIN,SF,4,6,1510.3,1566.9,22.6,39.3,0,0.4737,0,0.6418,0.2244
2025-03-27,SD,ATL,7,4,1657.5,1630.0,-6.2,37.6,0,0.5556,1,0.5877,0.1975
2025-03-27,CWS,LAA,8,1,1390.0,1347.5,-18.7,-1.4,0,0.6134,1,0.4887,0.1495
2025-03-27,MIA,PIT,5,4,1508.9,1481.0,-2.7,45.3,0,0.55,1,0.5979,0.2025
2025-03-27,STL,MIN,5,3,1589.8,1399.6,19.6,24.6,0,0.7995,1,0.2238,0.0402
2025-03-27,LAD,DET,5,4,1698.5,1583.5,37.1,43.1,0,0.7199,1,0.3286,0.0784
2025-03-27,AZ,CHC,6,10,1624.6,1567.6,-8.2,-19.2,0,0.67,0,1.1086,0.4489
2025-03-27,SEA,ATH,4,2,1638.6,1435.1,20.6,1.8,0,0.8315,1,0.1845,0.0284
2025-03-28,TB,COL,3,2,1559.2,1444.0,-4.7,-0.2,0,0.7219,1,0.3259,0.0774
2025-03-28,TOR,BAL,8,2,1443.9,1558.5,19.1,-19.7,0,0.47,1,0.755,0.2809
2025-03-28,MIA,PIT,3,4,1514.1,1475.8,-39.4,3.8,0,0.5716,0,0.8477,0.3267
2025-03-28,TEX,BOS,4,1,1481.5,1515.2,0.6,-49.7,0,0.6014,1,0.5084,0.1588
2025-03-28,HOU,NYM,1,3,1626.2,1620.5,25.8,18.6,0,0.5966,0,0.9078,0.3559
2025-03-28,AZ,CHC,8,1,1604.0,1588.2,10.3,-11.9,0,0.6309,1,0.4607,0.1363
2025-03-28,SEA,ATH,0,7,1642.3,1431.4,7.6,-11.9,0,0.838,0,1.82,0.7022
2025-03-28,SD,ATL,4,3,1668.0,1619.5,15.3,-58.9,0,0.7356,1,0.307,0.0699
2025-03-28,LAD,DET,8,5,1702.1,1579.9,30.8,8.1,0,0.7597,1,0.2748,0.0577
2025-03-29,NYY,MIL,20,9,1564.2,1600.0,27.6,-102.9,0,0.703,1,0.3524,0.0882
2025-03-29,CWS,LAA,0,1,1404.8,1332.7,-23.9,11.1,0,0.6295,0,0.993,0.3963
2025-03-29,STL,MIN,5,1,1593.8,1395.6,-25.7,10.8,0,0.7768,1,0.2526,0.0498
2025-03-29,TOR,BAL,5,9,1465.5,1536.9,-20.4,5.1,0,0.4401,0,0.58,0.1937
2025-03-29,WSH,PHI,6,11,1459.0,1597.3,-36.4,32.1,0,0.2945,0,0.3489,0.0868
2025-03-29,KC,CLE,4,3,1530.7,1568.6,-22.9,-5.4,0,0.4994,1,0.6943,0.2506
2025-03-29,CIN,SF,3,2,1499.6,1577.5,9.1,8.3,0,0.4682,1,0.7589,0.2828
2025-03-29,TB,COL,1,2,1562.8,1440.5,-17.4,-32.7,0,0.7519,0,1.394,0.5654
2025-03-29,MIA,PIT,5,4,1505.5,1484.4,-25.7,-19.2,0,0.5989,1,0.5127,0.1609
2025-03-29,TEX,BOS,4,3,1494.3,1502.4,20.3,-37.2,0,0.6458,1,0.4372,0.1254
2025-03-29,HOU,NYM,2,1,1613.4,1633.4,-34.2,3.3,0,0.4964,1,0.7003,0.2536
2025-03-29,SD,ATL,1,0,1672.8,1614.7,-16.9,23.1,0,0.6038,1,0.5045,0.157
2025-03-29,AZ,CHC,3,4,1620.5,1571.7,-0.9,-17.2,0,0.6662,0,1.0973,0.4439
2025-03-29,LAD,DET,7,3,1709.0,1572.9,-40.7,16.8,0,0.6834,1,0.3807,0.1003
2025-03-29,SEA,ATH,2,4,1611.1,1462.6,-24.9,-47.4,0,0.786,0,1.542,0.6179
2025-03-30,WSH,PHI,5,1,1446.1,1610.2,-20.4,-9.9,0,0.3345,1,1.0952,0.4429
2025-03-30,NYY,MIL,12,3,1587.3,1576.9,-25.2,-11.2,0,0.5734,1,0.5562,0.182
2025-03-30,TOR,BAL,3,1,1450.7,1551.7,4.1,-29.7,0,0.4823,1,0.7292,0.268
2025-03-30,CIN,SF,3,6,1506.8,1570.4,-3.9,6.1,0,0.4732,0,0.641,0.2239
2025-03-30,TB,COL,6,4,1553.2,1450.1,-4.4,-5.4,0,0.7142,1,0.3367,0.0817
