date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,home_bp_adj,away_bp_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2025-03-18,CHC,LAD,1,4,1591.1,1675.0,-27.5,49.3,0,0,0,0.3818,0,0.481,0.1458
2025-03-19,CHC,LAD,3,6,1578.8,1687.3,-30.7,-65.1,0,0,0,0.4781,0,0.6502,0.2286
2025-03-27,NYY,MIL,4,2,1553.4,1610.8,15.7,21.3,0,0,0,0.4908,1,0.7117,0.2593
2025-03-27,TOR,BAL,2,12,1466.1,1536.3,-19.1,-58.7,0,0,0,0.5281,0,0.7509,0.2789
2025-03-27,TEX,BOS,2,5,1497.4,1499.3,55.3,51.7,0,0,0,0.5647,0,0.8318,0.3189
2025-03-27,WSH,PHI,3,7,1471.8,1584.5,17.3,46.9,0,0,0,0.4016,0,0.5135,0.1613
2025-03-27,KC,CLE,4,7,1546.5,1552.9,66.9,-16.7,0,0,0,0.6452,0,1.0363,0.4163
2025-03-27,HOU,NYM,3,1,1616.6,1630.1,32.1,2.5,0,0,0,0.5807,1,0.5435,0.1758
2025-03-27,CIN,SF,4,6,1510.3,1566.9,36.1,62.9,0,0,0,0.4674,0,0.63,0.2185
2025-03-27,SD,ATL,7,4,1657.5,1630.0,-9.9,60.1,0,0,0,0.5144,1,0.6647,0.2358
2025-03-27,CWS,LAA,8,1,1390.0,1347.5,-29.9,-2.3,0,0,0,0.5794,1,0.5458,0.1769
2025-03-27,MIA,PIT,5,4,1508.9,1481.0,-4.3,72.5,0,0,0,0.507,1,0.6793,0.2431
2025-03-27,STL,MIN,5,3,1589.8,1399.6,31.3,39.3,0,0,0,0.7373,1,0.3047,0.069
2025-03-27,LAD,DET,5,4,1698.5,1583.5,59.3,68.9,0,0,0,0.6726,1,0.3966,0.1072
2025-03-27,AZ,CHC,6,10,1624.6,1567.6,-13.1,-30.7,0,0,0,0.6426,0,1.029,0.413
2025-03-27,SEA,ATH,4,2,1638.6,1435.1,32.9,2.9,0,0,0,0.7723,1,0.2584,0.0518
2025-03-28,TB,COL,3,2,1559.2,1444.0,-7.5,-0.3,0,0,0,0.675,1,0.3931,0.1056
2025-03-28,TOR,BAL,8,2,1443.9,1558.5,30.5,-31.5,0,0,0,0.5027,1,0.6877,0.2473
2025-03-28,MIA,PIT,3,4,1514.1,1475.8,-63.1,6.1,0,0,0,0.5277,0,0.7502,0.2785
2025-03-28,TEX,BOS,4,1,1481.5,1515.2,0.9,-79.5,0,0,0,0.6138,1,0.4881,0.1492
2025-03-28,HOU,NYM,1,3,1626.2,1620.5,41.3,29.7,0,0,0,0.5821,0,0.8725,0.3388
2025-03-28,AZ,CHC,8,1,1604.0,1588.2,16.5,-19.1,0,0,0,0.6189,1,0.4799,0.1453
2025-03-28,SEA,ATH,0,7,1642.3,1431.4,12.1,-19.1,0,0,0,0.7775,0,1.5029,0.6045
2025-03-28,SD,ATL,4,3,1668.0,1619.5,24.5,-94.3,0,0,0,0.726,1,0.3203,0.0751
2025-03-28,LAD,DET,8,5,1702.1,1579.9,49.3,12.9,0,0,0,0.719,1,0.3299,0.079
2025-03-29,NYY,MIL,20,9,1564.2,1600.0,44.1,-164.7,0,0,0,0.7303,1,0.3143,0.0727
2025-03-29,CWS,LAA,0,1,1404.8,1332.7,-38.3,17.7,0,0,0,0.5807,0,0.8692,0.3372
2025-03-29,STL,MIN,5,1,1593.8,1395.6,-41.1,17.3,0,0,0,0.7034,1,0.3519,0.088
2025-03-29,TOR,BAL,5,9,1465.5,1536.9,-32.7,8.1,0,0,0,0.4348,0,0.5706,0.1891
2025-03-29,WSH,PHI,6,11,1459.0,1597.3,-58.3,51.3,0,0,0,0.2983,0,0.3542,0.089
2025-03-29,KC,CLE,4,3,1530.7,1568.6,-36.7,-8.7,0,0,0,0.4874,1,0.7186,0.2627
2025-03-29,CIN,SF,3,2,1499.6,1577.5,14.5,13.3,0,0,0,0.4751,1,0.7443,0.2756
2025-03-29,TB,COL,1,2,1562.8,1440.5,-27.9,-52.3,0,0,0,0.7093,0,1.2354,0.5031
2025-03-29,MIA,PIT,5,4,1505.5,1484.4,-41.1,-30.7,0,0,0,0.5748,1,0.5537,0.1808
2025-03-29,TEX,BOS,4,3,1494.3,1502.4,32.5,-59.5,0,0,0,0.6519,1,0.4279,0.1212
2025-03-29,HOU,NYM,2,1,1613.4,1633.4,-54.7,5.3,0,0,0,0.4713,1,0.7523,0.2795
2025-03-29,SD,ATL,1,0,1672.8,1614.7,-27.1,36.9,0,0,0,0.5562,1,0.5865,0.1969
2025-03-29,AZ,CHC,3,4,1620.5,1571.7,-1.5,-27.5,0,0,0,0.6429,0,1.0297,0.4133
2025-03-29,LAD,DET,7,3,1709.0,1572.9,-65.1,26.9,0,0,0,0.6111,1,0.4924,0.1512
2025-03-29,SEA,ATH,2,4,1611.1,1462.6,-39.9,-75.9,0,0,0,0.7391,0,1.3435,0.5462
2025-03-30,WSH,PHI,5,1,1446.1,1610.2,-32.7,-15.9,0,0,0,0.3612,1,1.0184,0.4081
2025-03-30,NYY,MIL,12,3,1587.3,1576.9,-40.3,-17.9,0,0,0,0.5492,1,0.5993,0.2032
2025-03-30,TOR,BAL,3,1,1450.7,1551.7,6.5,-47.5,0,0,0,0.5091,1,0.675,0.2409
2025-03-30,CIN,SF,3,6,1506.8,1570.4,-6.3,9.7,0,0,0,0.4717,0,0.6381,0.2225
2025-03-30,TB,COL,6,4,1553.2,1450.1,-7.1,-8.7,0,0,0,0.6719,1,0.3977,0.1077
2025-03-30,MIA,PIT,3,2,1510.9,1479.0,-11.5,-56.7,0,0,0,0.6452,1,0.4383,0.1259
2025-03-30,KC,CLE,2,6,1537.2,1562.2,20.9,-6.3,0,0,0,0.5653,0,0.8331,0.3196
2025-03-30,CWS,LAA,2,3,1395.7,1341.7,-18.3,-75.1,0,0,0,0.6776,0,1.1319,0.4591
2025-03-30,STL,MIN,9,2,1599.4,1390.1,-20.3,-29.1,0,0,0,0.7625,1,0.2712,0.0564
2025-03-30,TEX,BOS,3,2,1500.3,1496.4,21.3,-65.1,0,0,0,0.6581,1,0.4184,0.1169
2025-03-30,AZ,CHC,10,6,1611.8,1580.5,-15.9,20.9,0,0,0,0.5566,1,0.5858,0.1966
2025-03-30,SEA,ATH,2,1,1595.4,1478.3,28.1,-41.5,0,0,0,0.7407,1,0.3002,0.0673
2025-03-30,SD,ATL,5,0,1677.5,1610.0,27.3,10.9,0,0,0,0.6518,1,0.4279,0.1212
2025-03-31,CWS,MIN,9,0,1386.9,1383.3,-2.7,-34.3,0,0,0,0.6016,1,0.5082,0.1587
2025-03-31,MIL,KC,1,11,1558.3,1519.9,-171.9,51.3,0,0,0,0.3571,0,0.4418,0.1275
2025-03-31,BAL,BOS,8,5,1539.9,1490.7,0.1,45.3,0,0,0,0.5673,1,0.5669,0.1873
2025-03-31,PHI,COL,6,1,1590.6,1444.1,64.9,-51.9,0,0,0,0.7897,1,0.2362,0.0442
2025-03-31,CIN,TEX,14,3,1493.6,1506.0,7.7,-27.9,0,0,0,0.5886,1,0.5301,0.1693
2025-03-31,MIA,NYM,4,10,1516.1,1627.2,-38.7,27.7,0,0,0,0.3645,0,0.4534,0.1329
2025-03-31,TB,PIT,6,1,1559.2,1473.8,13.3,33.7,0,0,0,0.6329,1,0.4575,0.1348
2025-03-31,TOR,WSH,5,2,1462.6,1465.7,-107.1,-2.3,0,0,0,0.4396,1,0.822,0.3141
2025-03-31,STL,LAA,4,5,1606.2,1350.6,-34.3,-57.1,0,0,0,0.7977,0,1.5978,0.6363
2025-03-31,HOU,SF,2,7,1619.5,1583.5,-3.9,-7.1,0,0,0,0.6059,0,0.9311,0.3671
2025-03-31,SD,CLE,7,2,1689.0,1579.4,-40.3,-0.3,0,0,0,0.6375,1,0.4502,0.1314
2025-03-31,SEA,DET,6,9,1599.0,1565.3,-36.3,-39.9,0,0,0,0.6038,0,0.9258,0.3646
2025-03-31,ATH,CHC,3,18,1474.7,1568.5,-180.3,4.1,0,0,0,0.2735,0,0.3195,0.0748
2025-03-31,LAD,ATL,6,1,1716.6,1598.5,16.9,-8.7,0,0,0,0.7067,1,0.3472,0.086
2025-04-01,CIN,TEX,0,1,1515.3,1484.3,-81.5,55.3,0,0,0,0.4419,0,0.5833,0.1953
2025-04-01,MIA,NYM,4,2,1500.5,1642.7,-4.3,2.1,0,0,0,0.3947,1,0.9295,0.3663
2025-04-01,TB,PIT,7,0,1569.8,1463.2,-7.9,-170.7,0,0,0,0.7929,1,0.232,0.0429
2025-04-01,NYY,AZ,5,7,1606.0,1623.8,4.5,9.3,0,0,10,0.5485,0,0.7953,0.3009
2025-04-01,TOR,WSH,5,3,1474.4,1453.9,-19.1,1.7,0,0,0,0.5624,1,0.5755,0.1915
2025-04-01,CWS,MIN,3,8,1406.0,1364.1,2.9,-13.9,0,0,0,0.6264,0,0.9847,0.3924
2025-04-01,MIL,KC,5,0,1528.5,1549.7,25.7,-16.7,0,0,0,0.5864,1,0.5337,0.1711
2025-04-01,STL,LAA,7,9,1595.5,1361.2,6.1,-17.1,0,0,0,0.7864,0,1.5438,0.6185
2025-04-01,HOU,SF,1,3,1597.4,1605.7,-25.9,62.9,0,0,0,0.4518,0,0.6011,0.2041
2025-04-01,SD,CLE,7,0,1698.5,1569.9,-9.9,-7.9,0,0,0,0.6919,1,0.3683,0.0949
2025-04-01,SEA,DET,1,4,1581.9,1582.4,32.9,11.7,0,0,0,0.5858,0,0.8815,0.3432
2025-04-01,ATH,CHC,4,7,1451.1,1592.1,2.9,-30.7,0,0,0,0.4401,0,0.5801,0.1937
2025-04-01,LAD,ATL,3,1,1725.8,1589.4,-28.3,60.1,0,0,0,0.6152,1,0.4857,0.148
2025-04-02,CIN,TEX,0,1,1506.8,1492.8,36.1,0.9,0,0,0,0.6165,0,0.9585,0.3801
2025-04-02,TB,PIT,2,4,1581.1,1452.0,-7.5,72.5,0,0,0,0.6163,0,0.958,0.3799
2025-04-02,MIL,KC,3,2,1544.6,1533.7,21.3,66.9,0,0,0,0.5234,1,0.6475,0.2272
2025-04-02,STL,LAA,12,5,1578.8,1377.9,31.3,-2.3,0,0,0,0.7729,1,0.2576,0.0516
2025-04-02,CWS,MIN,1,6,1383.7,1386.5,-29.9,39.3,0,0,0,0.4804,0,0.6548,0.2308
2025-04-02,TOR,WSH,4,2,1482.9,1445.3,-48.7,17.3,0,0,0,0.5306,1,0.6338,0.2204
2025-04-02,ATH,CHC,2,10,1441.2,1602.0,-19.1,-19.1,0,0,0,0.3819,0,0.4811,0.1458
2025-04-02,SD,CLE,5,2,1708.6,1559.8,24.5,-16.7,0,0,0,0.7431,1,0.2969,0.066
2025-04-02,SEA,DET,3,2,1565.9,1598.4,12.1,68.9,0,0,0,0.4606,1,0.7751,0.2909
2025-04-02,HOU,SF,3,6,1585.0,1618.1,32.1,10.5,0,0,0,0.5498,0,0.7981,0.3023
2025-04-02,MIA,NYM,5,6,1513.4,1629.9,-63.1,2.5,0,0,0,0.3599,0,0.4461,0.1295
2025-04-02,BAL,BOS,0,3,1549.5,1481.1,-58.7,51.7,0,0,0,0.515,0,0.7236,0.2652
2025-04-02,PHI,COL,5,1,1598.7,1436.1,46.9,-0.3,0,0,0,0.7569,1,0.2785,0.0591
2025-04-02,NYY,AZ,3,4,1593.9,1635.9,15.7,-13.1,0,0,0,0.548,0,0.794,0.3003
2025-04-02,LAD,ATL,6,5,1730.9,1584.2,59.3,-15.1,0,0,0,0.7644,1,0.2686,0.0555
2025-04-03,BAL,BOS,4,8,1531.4,1499.1,-31.5,-79.5,0,0,0,0.6484,0,1.0453,0.4204
2025-04-03,PHI,COL,3,1,1605.3,1429.4,-35.9,-52.3,0,0,0,0.7447,1,0.2947,0.0652
2025-04-03,MIN,HOU,2,5,1407.0,1570.5,17.3,41.3,0,0,0,0.3545,0,0.4377,0.1257
2025-04-03,NYY,AZ,9,7,1586.9,1642.9,-57.5,16.5,0,0,0,0.4149,1,0.8797,0.3423
2025-04-03,MIL,CIN,1,0,1550.2,1498.6,-164.7,14.5,0,0,0,0.4176,1,0.8733,0.3392
2025-04-04,DET,CWS,7,4,1592.0,1363.1,12.9,-38.3,0,0,0,0.7985,1,0.225,0.0406
2025-04-04,BOS,STL,13,9,1518.8,1586.0,-59.5,-41.1,0,0,0,0.465,1,0.7658,0.2863
2025-04-04,CHC,SD,3,1,1616.4,1714.8,-27.5,-27.1,0,0,10,0.4612,1,0.7739,0.2903
2025-04-04,NYM,TOR,5,0,1635.3,1490.9,29.7,30.5,0,0,0,0.7066,1,0.3473,0.0861
2025-04-04,COL,ATH,3,6,1425.1,1426.8,-8.7,-75.9,0,0,0,0.6335,0,1.0037,0.4013
2025-04-04,PIT,NYY,4,9,1467.4,1597.6,6.1,44.1,0,0,0,0.3741,0,0.4686,0.14
2025-04-04,SF,SEA,10,9,1632.6,1572.3,13.3,-21.1,0,0,0,0.6624,1,0.4118,0.114
2025-04-04,WSH,AZ,4,6,1437.3,1632.2,-58.3,-1.5,0,0,0,0.2951,0,0.3496,0.0871
2025-04-04,PHI,LAD,3,2,1609.6,1734.0,51.3,49.3,0,0,10,0.4344,1,0.8337,0.3199
2025-04-04,ATL,MIA,10,0,1581.1,1507.9,36.9,-11.5,0,0,0,0.6874,1,0.3748,0.0977
2025-04-04,KC,BAL,8,2,1528.0,1511.7,-36.7,8.1,0,0,0,0.5305,1,0.6339,0.2204
2025-04-04,TEX,TB,5,2,1501.1,1565.6,32.5,-27.9,0,0,0,0.5581,1,0.5832,0.1953
2025-04-04,MIL,CIN,3,2,1554.9,1493.8,21.7,-6.3,0,0,0,0.657,1,0.4201,0.1177
2025-04-04,LAA,CLE,6,8,1370.8,1553.6,17.7,-8.7,0,0,0,0.3864,0,0.4884,0.1493
2025-04-05,DET,CWS,7,2,1596.1,1359.0,26.9,-18.3,0,0,0,0.7996,1,0.2236,0.0401
2025-04-05,MIN,HOU,6,1,1398.0,1579.5,-29.1,-54.7,0,0,0,0.3871,1,0.9492,0.3757
2025-04-05,CHC,SD,7,1,1628.2,1703.0,20.9,27.3,0,0,0,0.47,1,0.7551,0.2809
2025-04-05,WSH,AZ,4,3,1431.1,1638.4,-32.7,-15.9,0,0,0,0.3194,1,1.1414,0.4633
2025-04-05,PHI,LAD,1,3,1617.4,1726.2,-15.9,-65.1,0,0,0,0.4948,0,0.6827,0.2448
