date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,home_bp_adj,away_bp_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2025-03-18,CHC,LAD,1,4,1591.1,1675.0,-28.0,50.3,-16.2,6.1,0,0.3573,0,0.442,0.1276
2025-03-19,CHC,LAD,3,6,1578.8,1687.3,-31.3,-66.4,-16.2,6.1,0,0.4533,0,0.6039,0.2055
2025-03-27,NYY,MIL,4,2,1553.4,1610.8,15.9,21.5,-9.2,9.2,0,0.4695,1,0.7561,0.2814
2025-03-27,TOR,BAL,2,12,1466.1,1536.3,-19.3,-59.3,17.1,-5.6,0,0.5544,0,0.8084,0.3074
2025-03-27,TEX,BOS,2,5,1497.4,1499.3,55.9,52.2,12.7,11.8,0,0.5658,0,0.8343,0.3201
2025-03-27,WSH,PHI,3,7,1471.8,1584.5,17.3,46.9,-18.0,5.8,0,0.3763,0,0.4721,0.1416
2025-03-27,KC,CLE,4,7,1546.5,1552.9,65.0,-16.2,-14.1,15.6,0,0.6121,0,0.947,0.3746
2025-03-27,HOU,NYM,3,1,1616.6,1630.1,32.4,2.5,12.1,8.9,0,0.5845,1,0.5369,0.1726
2025-03-27,CIN,SF,4,6,1510.3,1566.9,34.4,59.9,-11.4,-2.0,0,0.4581,0,0.6127,0.2099
2025-03-27,SD,ATL,7,4,1657.5,1630.0,-10.3,62.6,-3.0,-5.3,0,0.5138,1,0.666,0.2364
2025-03-27,CWS,LAA,8,1,1390.0,1347.5,-29.9,-2.3,1.0,-11.3,0,0.5929,1,0.5228,0.1658
2025-03-27,MIA,PIT,5,4,1508.9,1481.0,-4.2,71.8,1.0,3.4,0,0.5051,1,0.683,0.2449
2025-03-27,STL,MIN,5,3,1589.8,1399.6,32.0,40.1,16.8,6.0,0,0.7452,1,0.2941,0.0649
2025-03-27,LAD,DET,5,4,1698.5,1583.5,59.9,69.6,6.1,-7.4,0,0.6849,1,0.3784,0.0993
2025-03-27,AZ,CHC,6,10,1624.6,1567.6,-13.0,-30.4,-22.3,-15.7,0,0.6359,0,1.0102,0.4043
2025-03-27,SEA,ATH,4,2,1638.6,1435.1,35.0,3.1,-7.2,-11.3,0,0.776,1,0.2536,0.0502
2025-03-28,TB,COL,3,2,1559.2,1444.0,-7.4,-0.3,13.8,6.5,0,0.6818,1,0.3831,0.1013
2025-03-28,TOR,BAL,8,2,1443.9,1558.5,30.8,-31.8,17.1,-5.6,0,0.5296,1,0.6357,0.2213
2025-03-28,MIA,PIT,3,4,1514.1,1475.8,-62.5,6.1,1.0,3.4,0,0.5258,0,0.7461,0.2765
2025-03-28,TEX,BOS,4,1,1481.5,1515.2,0.9,-80.3,12.7,11.8,0,0.6156,1,0.4852,0.1478
2025-03-28,HOU,NYM,1,3,1626.2,1620.5,41.7,30.0,12.1,8.9,0,0.5857,0,0.8812,0.3431
2025-03-28,AZ,CHC,8,1,1604.0,1588.2,16.4,-18.9,-22.3,-15.7,0,0.6116,1,0.4917,0.1509
2025-03-28,SEA,ATH,0,7,1642.3,1431.4,12.9,-20.3,-7.2,-11.3,0,0.7811,0,1.5193,0.6102
