date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2025-03-18,CHC,LAD,1,4,1591.1,1675.0,0,0,0,0.4584,0,0.6132,0.2101
2025-03-19,CHC,LAD,3,6,1578.8,1687.3,0,0,0,0.4237,0,0.5511,0.1795
2025-03-27,NYY,MIL,4,2,1553.4,1610.8,0,0,0,0.4965,1,0.7001,0.2535
2025-03-27,TOR,BAL,2,12,1466.1,1536.3,0,0,0,0.4782,0,0.6504,0.2287
2025-03-27,TEX,BOS,2,5,1497.4,1499.3,0,0,0,0.5759,0,0.8577,0.3316
2025-03-27,WSH,PHI,3,7,1471.8,1584.5,0,0,0,0.4178,0,0.5409,0.1745
2025-03-27,KC,CLE,4,7,1546.5,1552.9,0,0,0,0.5694,0,0.8427,0.3243
2025-03-27,HOU,NYM,3,1,1616.6,1630.1,0,0,0,0.5594,1,0.5809,0.1941
2025-03-27,CIN,SF,4,6,1510.3,1566.9,0,0,0,0.4977,0,0.6886,0.2477
2025-03-27,SD,ATL,7,4,1657.5,1630.0,0,0,0,0.6166,1,0.4835,0.147
2025-03-27,CWS,LAA,8,1,1390.0,1347.5,0,0,0,0.6367,1,0.4515,0.132
2025-03-27,MIA,PIT,5,4,1508.9,1481.0,0,0,0,0.617,1,0.4829,0.1467
2025-03-27,STL,MIN,5,3,1589.8,1399.6,0,0,0,0.804,1,0.2181,0.0384
2025-03-27,LAD,DET,5,4,1698.5,1583.5,0,0,0,0.7269,1,0.319,0.0746
2025-03-27,AZ,CHC,6,10,1624.6,1567.6,0,0,0,0.6558,0,1.0666,0.4301
2025-03-27,SEA,ATH,4,2,1638.6,1435.1,0,0,0,0.8158,1,0.2036,0.0339
2025-03-28,TB,COL,3,2,1559.2,1444.0,0,0,0,0.727,1,0.3188,0.0745
2025-03-28,TOR,BAL,8,2,1443.9,1558.5,0,0,0,0.415,1,0.8794,0.3422
2025-03-28,MIA,PIT,3,4,1514.1,1475.8,0,0,0,0.6312,0,0.9974,0.3984
2025-03-28,TEX,BOS,4,1,1481.5,1515.2,0,0,0,0.5305,1,0.6339,0.2204
2025-03-28,HOU,NYM,1,3,1626.2,1620.5,0,0,0,0.5865,0,0.8831,0.344
2025-03-28,AZ,CHC,8,1,1604.0,1588.2,0,0,0,0.6006,1,0.5099,0.1596
2025-03-28,SEA,ATH,0,7,1642.3,1431.4,0,0,0,0.8221,0,1.7268,0.6759
2025-03-28,SD,ATL,4,3,1668.0,1619.5,0,0,0,0.6448,1,0.4389,0.1262
2025-03-28,LAD,DET,8,5,1702.1,1579.9,0,0,0,0.735,1,0.3079,0.0702
2025-03-29,NYY,MIL,20,9,1564.2,1600.0,0,0,0,0.5275,1,0.6395,0.2232
2025-03-29,CWS,LAA,0,1,1404.8,1332.7,0,0,0,0.6752,0,1.1244,0.4558
2025-03-29,STL,MIN,5,1,1593.8,1395.6,0,0,0,0.8111,1,0.2093,0.0357
2025-03-29,TOR,BAL,5,9,1465.5,1536.9,0,0,0,0.4765,0,0.6472,0.2271
2025-03-29,WSH,PHI,6,11,1459.0,1597.3,0,0,0,0.3825,0,0.482,0.1463
2025-03-29,KC,CLE,4,3,1530.7,1568.6,0,0,0,0.5246,1,0.6452,0.226
2025-03-29,CIN,SF,3,2,1499.6,1577.5,0,0,0,0.4671,1,0.7612,0.284
2025-03-29,TB,COL,1,2,1562.8,1440.5,0,0,0,0.7352,0,1.3287,0.5405
2025-03-29,MIA,PIT,5,4,1505.5,1484.4,0,0,0,0.6078,1,0.4978,0.1538
2025-03-29,TEX,BOS,4,3,1494.3,1502.4,0,0,0,0.567,1,0.5673,0.1874
2025-03-29,HOU,NYM,2,1,1613.4,1633.4,0,0,0,0.5502,1,0.5974,0.2023
2025-03-29,SD,ATL,1,0,1672.8,1614.7,0,0,0,0.6574,1,0.4195,0.1174
2025-03-29,AZ,CHC,3,4,1620.5,1571.7,0,0,0,0.6451,0,1.036,0.4162
2025-03-29,LAD,DET,7,3,1709.0,1572.9,0,0,0,0.7503,1,0.2873,0.0623
2025-03-29,SEA,ATH,2,4,1611.1,1462.6,0,0,0,0.7635,0,1.4416,0.5829
2025-03-30,WSH,PHI,5,1,1446.1,1610.2,0,0,0,0.3481,1,1.0554,0.425
2025-03-30,NYY,MIL,12,3,1587.3,1576.9,0,0,0,0.593,1,0.5226,0.1657
2025-03-30,TOR,BAL,3,1,1450.7,1551.7,0,0,0,0.4341,1,0.8345,0.3202
2025-03-30,CIN,SF,3,6,1506.8,1570.4,0,0,0,0.4876,0,0.6686,0.2377
2025-03-30,TB,COL,6,4,1553.2,1450.1,0,0,0,0.713,1,0.3383,0.0824
2025-03-30,MIA,PIT,3,2,1510.9,1479.0,0,0,0,0.6225,1,0.474,0.1425
2025-03-30,KC,CLE,2,6,1537.2,1562.2,0,0,0,0.5431,0,0.7834,0.295
2025-03-30,CWS,LAA,2,3,1395.7,1341.7,0,0,0,0.6519,0,1.0552,0.4249
2025-03-30,STL,MIN,9,2,1599.4,1390.1,0,0,0,0.8208,1,0.1975,0.0321
2025-03-30,TEX,BOS,3,2,1500.3,1496.4,0,0,0,0.5839,1,0.5381,0.1732
2025-03-30,AZ,CHC,10,6,1611.8,1580.5,0,0,0,0.6217,1,0.4752,0.1431
2025-03-30,SEA,ATH,2,1,1595.4,1478.3,0,0,0,0.7292,1,0.3157,0.0733
2025-03-30,SD,ATL,5,0,1677.5,1610.0,0,0,0,0.6693,1,0.4016,0.1094
2025-03-31,CWS,MIN,9,0,1386.9,1383.3,0,0,0,0.5836,1,0.5386,0.1734
2025-03-31,MIL,KC,1,11,1558.3,1519.9,0,0,0,0.6312,0,0.9976,0.3984
2025-03-31,BAL,BOS,8,5,1539.9,1490.7,0,0,0,0.6456,1,0.4376,0.1256
2025-03-31,PHI,COL,6,1,1590.6,1444.1,0,0,0,0.7614,1,0.2726,0.0569
