player_id,player_name,from_team,to_team,type,description,war_historical,war_projected,war_blended,war
621107,Zach Eflin,BAL,,Declared Free Agency,RHP Zach Eflin elected free agency.,2.566666666666667,0.52619469607457,1.5464306813706186,1.5464306813706186
621111,Walker Buehler,PHI,,Declared Free Agency,RHP Walker Buehler elected free agency.,0.0,0.0,0.0,0.0
596146,Max Kepler,PHI,,Declared Free Agency,LF Max Kepler elected free agency.,1.4000000000000001,0.33584228035687286,0.8679211401784365,0.8679211401784365
518489,Ryan Brasier,CHC,,Declared Free Agency,RHP Ryan Brasier elected free agency.,0.6,0.042874294326512886,0.32143714716325644,0.32143714716325644
624133,Ranger Suárez,PHI,,Declared Free Agency,LHP Ranger Suárez elected free agency.,3.266666666666667,0.9126880343834302,2.0896773505250485,2.0896773505250485
607259,Nick Martinez,CIN,,Declared Free Agency,RHP Nick Martinez elected free agency.,2.3000000000000003,0.6233876653332718,1.461693832666636,1.461693832666636
605177,Andrew Chafin,LAA,,Declared Free Agency,LHP Andrew Chafin elected free agency.,0.43333333333333335,0.043242042030802626,0.23828768768206798,0.23828768768206798
606115,Orlando Arcia,COL,,Declared Free Agency,SS Orlando Arcia elected free agency.,0.7666666666666666,0.12816099330834657,0.44741382998750656,0.44741382998750656
571882,Derek Law,WSH,,Declared Free Agency,RHP Derek Law elected free agency.,0.7000000000000001,0.11954887218045114,0.4097744360902256,0.4097744360902256
669160,Dustin May,BOS,,Declared Free Agency,RHP Dustin May elected free agency.,1.05,0.19838775127981023,0.6241938756399051,0.6241938756399051
608701,Rob Refsnyder,BOS,,Declared Free Agency,RF Rob Refsnyder elected free agency.,0.9333333333333332,0.16963375857181165,0.5514835459525724,0.5514835459525724
458677,Justin Wilson,BOS,,Declared Free Agency,LHP Justin Wilson elected free agency.,0.55,0.06339403274290116,0.3066970163714506,0.3066970163714506
642133,Rowdy Tellez,TEX,,Declared Free Agency,1B Rowdy Tellez elected free agency.,0.03333333333333333,0.00957595692713626,0.021454645130234797,0.021454645130234797
656941,Kyle Schwarber,PHI,,Declared Free Agency,LF Kyle Schwarber elected free agency.,3.033333333333333,1.2540642612282842,2.1436987972808086,2.1436987972808086
624428,Adam Frazier,KC,,Declared Free Agency,2B Adam Frazier elected free agency.,0.19999999999999998,0.05656581409856519,0.12828290704928258,0.12828290704928258
596103,Austin Slater,NYY,,Declared Free Agency,LF Austin Slater elected free agency.,0.16666666666666666,0.01474643549903013,0.09070655108284839,0.09070655108284839
656794,Sean Newcomb,ATH,,Declared Free Agency,LHP Sean Newcomb elected free agency.,0.6333333333333333,0.07738674274311727,0.3553600380382253,0.3553600380382253
641835,Tim Mayza,PHI,,Declared Free Agency,LHP Tim Mayza elected free agency.,0.43333333333333335,0.025524082855003745,0.22942870809416854,0.22942870809416854
571927,Steven Matz,BOS,,Declared Free Agency,LHP Steven Matz elected free agency.,1.0333333333333334,0.14738911219237008,0.5903612227628517,0.5903612227628517
641941,Emilio Pagán,CIN,,Declared Free Agency,RHP Emilio Pagán elected free agency.,0.9,0.11246628971753053,0.5062331448587652,0.5062331448587652
650402,Gleyber Torres,DET,,Declared Free Agency,2B Gleyber Torres elected free agency.,2.6999999999999997,0.9176599447845397,1.8088299723922696,1.8088299723922696
592663,J.T. Realmuto,PHI,,Declared Free Agency,C J.T. Realmuto elected free agency.,2.033333333333333,0.6020427316945777,1.3176880325139555,1.3176880325139555
605288,Adrian Houser,TB,,Declared Free Agency,RHP Adrian Houser elected free agency.,1.3333333333333333,0.28303008710734034,0.8081817102203368,0.8081817102203368
542888,Shawn Armstrong,TEX,,Declared Free Agency,RHP Shawn Armstrong elected free agency.,1.1333333333333333,0.1614849395435358,0.6474091364384346,0.6474091364384346
453286,Max Scherzer,TOR,,Declared Free Agency,RHP Max Scherzer elected free agency.,1.0666666666666667,0.16504384466461677,0.6158552556656417,0.6158552556656417
663978,Chris Paddack,DET,,Declared Free Agency,RHP Chris Paddack elected free agency.,0.6333333333333334,0.13275757880954778,0.3830454560714406,0.3830454560714406
500743,Miguel Rojas,LAD,,Declared Free Agency,2B Miguel Rojas elected free agency.,1.7,0.40471902662796116,1.0523595133139805,1.0523595133139805
656756,Jordan Montgomery,MIL,,Declared Free Agency,LHP Jordan Montgomery elected free agency.,2.4,0.5773402613667709,1.4886701306833854,1.4886701306833854
456781,Donovan Solano,TEX,,Declared Free Agency,1B Donovan Solano elected free agency.,0.6333333333333334,0.10544945286430661,0.36939139309882,0.36939139309882
502171,Alex Cobb,DET,,Declared Free Agency,RHP Alex Cobb elected free agency.,1.05,0.14712515985687155,0.5985625799284358,0.5985625799284358
657571,Caleb Ferguson,SEA,,Declared Free Agency,LHP Caleb Ferguson elected free agency.,0.7999999999999999,0.09917575121026645,0.4495878756051332,0.4495878756051332
592351,Jon Gray,TEX,,Declared Free Agency,RHP Jon Gray elected free agency.,1.1666666666666667,0.16936270673553505,0.6680146867011009,0.6680146867011009
445276,Kenley Jansen,LAA,,Declared Free Agency,RHP Kenley Jansen elected free agency.,1.0333333333333334,0.11737381529645144,0.5753535743148924,0.5753535743148924
663898,Brendan Rodgers,HOU,,Declared Free Agency,2B Brendan Rodgers elected free agency.,0.23333333333333336,0.03636619401305424,0.1348497636731938,0.1348497636731938
621035,Chris Taylor,LAA,,Declared Free Agency,CF Chris Taylor elected free agency.,0.06666666666666665,-0.010725870675757051,0.0279703979954548,0.0279703979954548
642152,Lou Trivino,PHI,,Declared Free Agency,RHP Lou Trivino elected free agency.,0.0,0.0,0.0,0.0
647304,Josh Naylor,SEA,,Declared Free Agency,1B Josh Naylor elected free agency.,2.6999999999999997,0.8972555239383619,1.7986277619691808,1.7986277619691808
489119,Wade Miley,CIN,,Declared Free Agency,LHP Wade Miley elected free agency.,0.3333333333333333,0.02135453384905588,0.1773439335911946,0.1773439335911946
606160,Rafael Montero,DET,,Declared Free Agency,RHP Rafael Montero elected free agency.,0.06666666666666667,0.007996284209111023,0.037331475437888846,0.037331475437888846
570632,José Ureña,LAA,,Declared Free Agency,RHP José Ureña elected free agency.,0.0,0.0,0.0,0.0
434378,Justin Verlander,SF,,Declared Free Agency,RHP Justin Verlander elected free agency.,2.1,0.5015686702982814,1.3007843351491408,1.3007843351491408
455119,Chris Martin,TEX,,Declared Free Agency,RHP Chris Martin elected free agency.,1.0,0.09357046552563575,0.5467852327628179,0.5467852327628179
663656,Kyle Tucker,CHC,,Declared Free Agency,RF Kyle Tucker elected free agency.,4.533333333333334,1.3790637191157347,2.9561985262245343,2.9561985262245343
571946,Shelby Miller,MIL,,Declared Free Agency,RHP Shelby Miller elected free agency.,0.3666666666666667,0.04022838863264395,0.20344752764965532,0.20344752764965532
642708,Amed Rosario,NYY,,Declared Free Agency,3B Amed Rosario elected free agency.,0.3333333333333333,0.07209462646493232,0.2027139798991328,0.2027139798991328
600917,José Leclerc,ATH,,Declared Free Agency,RHP José Leclerc elected free agency.,0.5333333333333333,0.04248851184164016,0.28791092258748674,0.28791092258748674
502085,David Robertson,PHI,,Declared Free Agency,RHP David Robertson elected free agency.,1.0,0.0954258469446669,0.5477129234723335,0.5477129234723335
467793,Carlos Santana,CHC,,Declared Free Agency,1B Carlos Santana elected free agency.,1.5666666666666667,0.4610960338999191,1.0138813502832928,1.0138813502832928
572191,Michael A. Taylor,CWS,,Declared Free Agency,RF Michael A. Taylor elected free agency.,0.7333333333333333,0.12292312433157501,0.42812822883245416,0.42812822883245416
609280,Miguel Andujar,CIN,,Declared Free Agency,LF Miguel Andujar elected free agency.,0.6,0.12278813287254736,0.3613940664362737,0.3613940664362737
650333,Luis Arraez,SD,,Declared Free Agency,1B Luis Arraez elected free agency.,1.8,0.5645088285381376,1.1822544142690687,1.1822544142690687
596133,Luke Weaver,NYY,,Declared Free Agency,RHP Luke Weaver elected free agency.,0.6333333333333333,0.11305649950228264,0.373194916417808,0.373194916417808
642207,Devin Williams,NYY,,Declared Free Agency,RHP Devin Williams elected free agency.,1.3333333333333333,0.1378589786568332,0.7355961559950832,0.7355961559950832
596142,Gary Sánchez,BAL,,Declared Free Agency,C Gary Sánchez elected free agency.,0.6333333333333334,0.07088929830817385,0.3521113158207536,0.3521113158207536
489446,Kirby Yates,LAD,,Declared Free Agency,RHP Kirby Yates elected free agency.,0.6333333333333333,0.0735425183221007,0.353437925827717,0.353437925827717
578428,Jose Iglesias,SD,,Declared Free Agency,2B Jose Iglesias elected free agency.,1.15,0.21046860150595806,0.680234300752979,0.680234300752979
596001,Jakob Junis,CLE,,Declared Free Agency,RHP Jakob Junis elected free agency.,0.7333333333333334,0.10857050262212012,0.42095191797772674,0.42095191797772674
573262,Mike Yastrzemski,KC,,Declared Free Agency,RF Mike Yastrzemski elected free agency.,1.8999999999999997,0.5618938158089871,1.2309469079044935,1.2309469079044935
641816,Tyler Mahle,TEX,,Declared Free Agency,RHP Tyler Mahle elected free agency.,0.8333333333333334,0.09938722286539445,0.4663602780993639,0.4663602780993639
571948,Hoby Milner,TEX,,Declared Free Agency,LHP Hoby Milner elected free agency.,0.9666666666666667,0.13803605019406148,0.5523513584303641,0.5523513584303641
650489,Willi Castro,CHC,,Declared Free Agency,LF Willi Castro elected free agency.,2.0,0.5440202410660404,1.2720101205330203,1.2720101205330203
608566,Germán Márquez,COL,,Declared Free Agency,RHP Germán Márquez elected free agency.,0.16666666666666666,0.02245301007899755,0.0945598383728321,0.0945598383728321
650859,Luis Rengifo,LAA,,Declared Free Agency,3B Luis Rengifo elected free agency.,1.0666666666666667,0.24734432234432233,0.6570054945054945,0.6570054945054945
543056,Danny Coulombe,TEX,,Declared Free Agency,LHP Danny Coulombe elected free agency.,0.8666666666666666,0.0741939603791792,0.4704303135229229,0.4704303135229229
622554,Seranthony Domínguez,TOR,,Declared Free Agency,RHP Seranthony Domínguez elected free agency.,0.3333333333333333,0.05051512614219665,0.191924229737765,0.191924229737765
656288,Griffin Canning,NYM,,Declared Free Agency,RHP Griffin Canning elected free agency.,0.9333333333333335,0.1987428557706162,0.5660380945519748,0.5660380945519748
656222,Jalen Beeks,AZ,,Declared Free Agency,LHP Jalen Beeks elected free agency.,0.43333333333333335,0.05143759787319277,0.24238546560326307,0.24238546560326307
450203,Charlie Morton,ATL,,Declared Free Agency,RHP Charlie Morton elected free agency.,1.366666666666667,0.3257879484060844,0.8462273075363757,0.8462273075363757
457705,Andrew McCutchen,PIT,,Declared Free Agency,RF Andrew McCutchen elected free agency.,0.5666666666666667,0.1359552195405641,0.3513109431036154,0.3513109431036154
571578,Patrick Corbin,TEX,,Declared Free Agency,LHP Patrick Corbin elected free agency.,1.4666666666666668,0.46031944668711994,0.9634930566768933,0.9634930566768933
518886,Craig Kimbrel,HOU,,Declared Free Agency,RHP Craig Kimbrel elected free agency.,0.43333333333333335,0.030789766336833863,0.2320615498350836,0.2320615498350836
664854,Ryan Helsley,NYM,,Declared Free Agency,RHP Ryan Helsley elected free agency.,1.3333333333333333,0.14669448010269573,0.7400139067180145,0.7400139067180145
650633,Michael King,SD,,Declared Free Agency,RHP Michael King elected free agency.,2.3000000000000003,0.48503972948300356,1.392519864741502,1.392519864741502
641793,Zack Littell,CIN,,Declared Free Agency,RHP Zack Littell elected free agency.,1.6333333333333335,0.4591924009619545,1.046262867147644,1.046262867147644
519141,Drew Pomeranz,CHC,,Declared Free Agency,LHP Drew Pomeranz elected free agency.,0.7,0.07666963490650044,0.3883348174532502,0.3883348174532502
573204,Caleb Thielbar,CHC,,Declared Free Agency,LHP Caleb Thielbar elected free agency.,0.46666666666666673,0.05828832184764387,0.2624774942571553,0.2624774942571553
572191,Michael A. Taylor,CWS,,Declared Free Agency,RF Michael A. Taylor elected free agency.,0.7333333333333333,0.12292312433157501,0.42812822883245416,0.42812822883245416
472610,Luis García,LAA,,Declared Free Agency,RHP Luis García elected free agency.,0.36666666666666664,0.052308210817802556,0.2094874387422346,0.2094874387422346
660162,Yoán Moncada,LAA,,Declared Free Agency,3B Yoán Moncada elected free agency.,0.7333333333333333,0.10907424738730308,0.4212037903603182,0.4212037903603182
571760,Andrew Heaney,LAD,,Declared Free Agency,LHP Andrew Heaney elected free agency.,1.1333333333333335,0.2692925434137424,0.7013129383735379,0.7013129383735379
642232,Ryan Yarbrough,NYY,,Declared Free Agency,LHP Ryan Yarbrough elected free agency.,0.3333333333333333,0.045228703895924156,0.18928101861462873,0.18928101861462873
624424,Michael Conforto,LAD,,Declared Free Agency,LF Michael Conforto elected free agency.,0.5,0.10995773903856314,0.30497886951928155,0.30497886951928155
641745,Brad Keller,CHC,,Declared Free Agency,RHP Brad Keller elected free agency.,0.43333333333333335,0.06422574998010663,0.24877954165672,0.24877954165672
640448,Kyle Finnegan,DET,,Declared Free Agency,RHP Kyle Finnegan elected free agency.,0.5,0.07726325945429299,0.2886316297271465,0.2886316297271465
571912,Luke Maile,KC,,Declared Free Agency,C Luke Maile elected free agency.,0.26666666666666666,0.02334256752502676,0.14500461709584672,0.14500461709584672
657557,Paul DeJong,WSH,,Declared Free Agency,3B Paul DeJong elected free agency.,0.8333333333333334,0.18144836995547894,0.5073908516444061,0.5073908516444061
657041,Lane Thomas,CLE,,Declared Free Agency,CF Lane Thomas elected free agency.,1.2666666666666666,0.24843609438793163,0.7575513805272991,0.7575513805272991
542303,Marcell Ozuna,ATL,,Declared Free Agency,DH Marcell Ozuna elected free agency.,3.033333333333333,0.9807017543859651,2.007017543859649,2.007017543859649
