fip_weight,bullpen_weight,park_scale,prob_shrinkage,season,games,accuracy,log_loss,brier
25,0,0.0,0.14,2025,2430,0.5588477366255145,0.6827676394312225,0.244906654159939
25,0,0.5,0.14,2025,2430,0.5580246913580247,0.6827771485348761,0.24491125258908736
25,0,1.0,0.14,2025,2430,0.5580246913580247,0.6827881089899147,0.24491649386950756
25,5,0.0,0.14,2025,2430,0.5588477366255145,0.6827914671873424,0.24490636797151918
25,5,0.5,0.14,2025,2430,0.5576131687242798,0.6828021634591972,0.24491143740462984
25,5,1.0,0.14,2025,2430,0.5576131687242798,0.6828143079645818,0.24491715133919445
25,10,0.0,0.14,2025,2430,0.5592592592592592,0.682912223104031,0.2449496851079618
25,10,0.5,0.14,2025,2430,0.5592592592592592,0.6829239884897829,0.2449551819703633
25,10,1.0,0.14,2025,2430,0.5592592592592592,0.6829372291685794,0.24496133660911762
25,15,0.0,0.14,2025,2430,0.5617283950617284,0.6831292957118495,0.24503627569255168
25,15,0.5,0.14,2025,2430,0.5621399176954732,0.6831419935977102,0.2450421450381298
25,15,1.0,0.14,2025,2430,0.5621399176954732,0.683156224878042,0.2450486975862799
30,0,0.0,0.14,2025,2430,0.5534979423868313,0.6832022757486809,0.2451068839233427
30,0,0.5,0.14,2025,2430,0.5530864197530864,0.6832118213996903,0.24511157860572425
30,0,1.0,0.14,2025,2430,0.5530864197530864,0.6832233330313603,0.2451171295959287
30,5,0.0,0.14,2025,2430,0.5559670781893004,0.6832280496461035,0.2451069667123669
30,5,0.5,0.14,2025,2430,0.5555555555555556,0.683238766058975,0.245112111325651
30,5,1.0,0.14,2025,2430,0.5551440329218107,0.6832514453180281,0.2451181144880242
30,10,0.0,0.14,2025,2430,0.5576131687242798,0.6833493010433448,0.24514970373938122
30,10,0.5,0.14,2025,2430,0.5563786008230452,0.6833610817202683,0.24515526316568298
30,10,1.0,0.14,2025,2430,0.5555555555555556,0.6833748490161194,0.24516169301236315
25,20,0.0,0.14,2025,2430,0.5654320987654321,0.6834418829360296,0.2451656942619642
25,20,0.5,0.14,2025,2430,0.5662551440329218,0.6834553593426752,0.24517187043162217
25,20,1.0,0.14,2025,2430,0.5662551440329218,0.6834704588311896,0.24517876776606157
30,15,0.0,0.14,2025,2430,0.5596707818930041,0.6835654231641833,0.24523477491392467
30,15,0.5,0.14,2025,2430,0.5596707818930041,0.6835781434677497,0.24524070305040588
30,15,1.0,0.14,2025,2430,0.560082304526749,0.6835929019629147,0.24524752363489705
25,25,0.0,0.14,2025,2430,0.5621399176954732,0.6838489968437583,0.24533738367195668
35,0,0.0,0.14,2025,2430,0.5530864197530864,0.6838530975776398,0.24540407247733487
35,0,0.5,0.14,2025,2430,0.5547325102880658,0.6838622414899278,0.2454086732381534
