pitcher_id,name,team,ip,era,fip,k,bb,hbp,hr,games_started
813349,Connelly Early,Boston Red Sox,19.3,2.33,0.88,29,4,1,0,4
691799,Grant Taylor,Chicago White Sox,36.7,4.91,1.39,54,15,0,0,2
660271,Shohei Ohtani,Los Angeles Dodgers,47.0,2.87,1.87,62,9,0,3,14
544150,Albert Suárez,Norfolk Tides,11.7,2.31,2.16,10,2,1,0,1
702056,Trey Yesavage,Toronto Blue Jays,14.0,3.21,2.32,16,7,0,0,3
694973,Paul Skenes,Pittsburgh Pirates,187.7,1.97,2.33,216,42,6,11,32
669373,Tarik Skubal,Detroit Tigers,195.3,2.21,2.42,241,33,5,18,31
680694,Kyle Bradish,Baltimore Orioles,32.0,2.53,2.42,47,10,1,3,6
666142,Cole Ragans,Kansas City Royals,61.7,4.67,2.47,98,20,2,7,13
643377,Griffin Jax,Tampa Bay Rays,66.0,4.23,2.48,99,21,1,7,2
681151,Jayden Murray,Houston Astros,11.7,1.54,2.5,8,3,0,0,1
686790,Trevor McDonald,San Francisco Giants,15.0,1.8,2.5,14,2,0,1,2
650911,Cristopher Sánchez,Philadelphia Phillies,202.0,2.5,2.52,212,44,6,12,32
657277,Logan Webb,San Francisco Giants,207.0,3.22,2.57,224,46,6,14,34
695505,Chase Burns,Cincinnati Reds,43.3,4.57,2.62,67,16,0,5,8
696149,Bubba Chandler,Pittsburgh Pirates,31.3,4.02,2.62,31,4,3,2,4
519242,Chris Sale,Atlanta Braves,125.7,2.58,2.64,165,32,11,11,20
605483,Blake Snell,Los Angeles Dodgers,61.3,2.35,2.66,72,26,0,3,11
676879,Aaron Ashby,Milwaukee Brewers,66.7,2.16,2.67,76,24,4,3,1
657424,Matt Gage,San Francisco Giants,31.0,3.19,2.72,27,12,2,0,2
595345,Steven Okert,Houston Astros,71.7,3.01,2.73,84,19,2,6,1
677952,Braxton Ashcraft,Pittsburgh Pirates,69.7,2.71,2.74,71,24,2,3,8
543135,Nathan Eovaldi,Texas Rangers,130.0,1.73,2.76,129,21,7,10,22
687075,Brandon Sproat,Milwaukee Brewers,20.7,4.79,2.76,17,7,2,0,4
669432,Trevor Rogers,Baltimore Orioles,109.7,1.81,2.78,103,29,2,6,18
676263,Jack Dreyer,Los Angeles Dodgers,76.3,2.95,2.79,74,24,0,4,5
676979,Garrett Crochet,Boston Red Sox,205.3,2.59,2.85,255,46,3,24,32
663460,Kris Bubic,Kansas City Royals,116.3,2.55,2.86,116,39,3,6,20
666200,Jesús Luzardo,Philadelphia Phillies,183.7,3.92,2.86,216,57,3,16,32
680736,Justin Wrobleski,Los Angeles Dodgers,66.7,4.32,2.89,76,17,3,6,2
641745,Brad Keller,Philadelphia Phillies,69.7,2.07,2.9,75,22,6,4,1
686218,Emmet Sheehan,Los Angeles Dodgers,73.3,2.82,2.9,89,22,2,7,12
694363,Jared Shuster,Memphis Redbirds,15.7,8.04,2.91,12,5,2,0,2
808967,Yoshinobu Yamamoto,Los Angeles Dodgers,173.7,2.49,2.91,201,59,3,14,30
664141,JT Brubaker,San Francisco Giants,28.7,3.77,2.93,22,12,1,0,1
690997,Nolan McLean,New York Mets,48.0,2.06,2.94,57,16,2,4,8
800048,Parker Messick,Cleveland Guardians,39.7,2.72,2.95,38,6,0,4,7
554430,Zack Wheeler,Philadelphia Phillies,149.7,2.71,2.97,195,33,8,19,24
680755,Braydon Fisher,Toronto Blue Jays,50.0,2.7,2.98,62,19,3,4,1
701656,Logan Henderson,Milwaukee Brewers,25.3,1.78,2.98,33,8,0,3,5
623437,Justin Topa,Minnesota Twins,60.0,3.9,3.0,49,18,4,2,1
656794,Sean Newcomb,Chicago White Sox,92.3,2.73,3.01,91,31,5,5,5
