team,elo_end_of_season,mean_reverted_elo,base_war,net_txn_war,adjusted_war,war_vs_avg,war_elo,preseason_elo
LAD,1675.04,1605.02,46.7,0.5,47.2,16.5,1582.63,1573.37
AZ,1624.62,1574.77,45.7,-1.3,44.4,13.7,1568.63,1556.77
PHI,1584.48,1550.69,47.5,-1.6,45.9,15.2,1576.13,1550.55
NYM,1630.12,1578.07,38.9,-2.3,36.6,5.9,1529.63,1543.38
SD,1657.52,1594.51,43.0,-9.9,33.1,2.4,1512.13,1542.99
CHC,1591.06,1554.64,33.1,5.5,38.6,7.9,1539.63,1538.34
ATL,1629.97,1577.98,40.4,-6.7,33.7,3.0,1515.13,1537.92
SEA,1638.64,1583.18,34.4,-2.5,31.9,1.2,1506.13,1536.49
NYY,1553.43,1532.06,46.2,-4.6,41.6,10.9,1554.63,1535.51
KC,1546.47,1527.88,38.9,1.7,40.6,9.9,1549.63,1532.07
MIL,1610.83,1566.5,40.2,-7.4,32.8,2.1,1510.63,1531.92
DET,1583.45,1550.07,30.5,4.6,35.1,4.4,1522.13,1530.07
HOU,1616.6,1569.96,38.3,-7.6,30.7,0.0,1500.13,1529.28
BAL,1536.3,1521.78,42.0,-4.3,37.7,7.0,1535.13,1524.34
BOS,1499.27,1499.56,38.1,3.6,41.7,11.0,1555.13,1523.51
CLE,1552.9,1531.74,36.1,-2.3,33.8,3.1,1515.63,1520.76
SF,1566.87,1540.12,29.5,0.5,30.0,-0.7,1496.63,1516.78
STL,1589.84,1553.9,32.5,-5.4,27.1,-3.6,1482.13,1516.51
TB,1559.23,1535.54,22.6,0.8,23.4,-7.3,1463.63,1502.69
TEX,1497.41,1498.45,29.8,0.9,30.7,0.0,1500.13,1502.46
CIN,1510.3,1506.18,26.2,2.0,28.2,-2.5,1487.63,1500.68
TOR,1466.13,1479.68,24.9,6.9,31.8,1.1,1505.63,1497.49
MIN,1399.61,1439.77,40.7,-4.4,36.3,5.6,1528.13,1490.96
ATH,1435.1,1461.06,25.0,6.0,31.0,0.3,1501.63,1489.01
WSH,1471.83,1483.1,24.2,0.6,24.8,-5.9,1470.63,1485.65
PIT,1481.03,1488.62,20.6,-1.2,19.4,-11.3,1443.63,1477.59
MIA,1508.88,1505.33,11.3,-2.0,9.3,-21.4,1393.13,1464.92
LAA,1347.5,1408.5,10.8,8.4,19.2,-11.5,1442.63,1447.17
COL,1444.05,1466.43,7.2,-0.1,7.1,-23.6,1382.13,1446.21
CWS,1389.95,1433.97,2.6,-6.1,-3.5,-34.2,1329.13,1414.16
