team,elo_end_of_season,mean_reverted_elo,total_war,war_vs_avg,war_elo,preseason_elo
LAD,1684.27,1610.56,56.6,17.1,1585.72,1576.6
NYY,1675.61,1605.37,47.5,8.0,1540.22,1557.59
SEA,1635.86,1581.52,46.8,7.3,1536.72,1547.34
PHI,1629.6,1577.76,46.6,7.1,1535.72,1545.55
TOR,1615.41,1569.25,48.0,8.5,1542.72,1544.98
BOS,1622.44,1573.46,46.1,6.6,1533.22,1543.0
CHC,1586.04,1551.62,43.7,4.2,1521.22,1530.31
ATL,1558.84,1535.3,46.4,6.9,1534.72,1529.25
SD,1585.71,1551.43,40.6,1.1,1505.72,1524.42
NYM,1522.23,1513.34,47.1,7.6,1538.22,1522.33
MIL,1592.7,1555.62,38.6,-0.9,1495.72,1522.25
KC,1590.78,1554.47,38.6,-0.9,1495.72,1521.81
CLE,1609.76,1565.86,35.4,-4.1,1479.72,1520.09
HOU,1547.13,1528.28,41.2,1.7,1508.72,1516.87
BAL,1510.26,1506.16,45.4,5.9,1529.72,1516.45
TEX,1543.6,1526.16,39.5,0.0,1500.22,1512.89
CIN,1570.09,1542.05,36.3,-3.2,1484.22,1512.85
PIT,1558.02,1534.81,36.6,-2.9,1485.72,1510.69
SF,1540.46,1524.28,38.6,-0.9,1495.72,1510.5
ATH,1533.54,1520.12,37.4,-2.1,1489.72,1506.69
DET,1475.92,1485.55,44.3,4.8,1524.22,1506.66
AZ,1528.96,1517.38,37.9,-1.6,1492.22,1506.6
TB,1493.86,1496.32,38.6,-0.9,1495.72,1500.01
MIA,1535.63,1521.38,31.1,-8.4,1458.22,1495.35
MIN,1464.55,1478.73,36.9,-2.6,1487.22,1490.22
STL,1459.21,1475.53,32.0,-7.5,1462.72,1479.84
CWS,1469.68,1481.81,27.5,-12.0,1440.22,1473.75
LAA,1382.03,1429.22,29.7,-9.8,1451.22,1458.16
WSH,1383.18,1429.91,25.6,-13.9,1430.72,1450.73
COL,1293.05,1375.83,23.1,-16.4,1418.22,1425.76
