date,gamePk,status,homeTeam,awayTeam,homeScore,awayScore,venueName,homeStartingPitcherId,homeStartingPitcherName,awayStartingPitcherId,awayStartingPitcherName
2023-03-30,718780,Final,WSH,ATL,2,7,Nationals Park,,Patrick Corbin,,Max Fried
2023-03-30,718781,Final,NYY,SF,5,0,Yankee Stadium,,Gerrit Cole,,Logan Webb
2023-03-30,718782,Final,BOS,BAL,9,10,Fenway Park,,Corey Kluber,,Kyle Gibson
2023-03-30,718777,Final,CHC,MIL,4,0,Wrigley Field,,Marcus Stroman,,Corbin Burnes
2023-03-30,718776,Final,TB,DET,4,0,Tropicana Field,,Shane McClanahan,,Eduardo Rodriguez
2023-03-30,718779,Final,TEX,PHI,11,7,Globe Life Field,,Jacob deGrom,,Aaron Nola
2023-03-30,718773,Final,CIN,PIT,4,5,Great American Ball Park,,Hunter Greene,,Mitch Keller
2023-03-30,718772,Final,STL,TOR,9,10,Busch Stadium,,Miles Mikolas,,Alek Manoah
2023-03-30,718775,Final,KC,MIN,0,2,Kauffman Stadium,,Zack Greinke,,Pablo López
2023-03-30,718774,Final,MIA,NYM,3,5,loanDepot park,,Sandy Alcantara,,Max Scherzer
2023-03-30,718768,Final,HOU,CWS,2,3,Minute Maid Park,,Framber Valdez,,Dylan Cease
2023-03-30,718778,Final,SD,COL,2,7,Petco Park,,Blake Snell,,Germán Márquez
2023-03-30,718769,Final,ATH,LAA,2,1,Oakland Coliseum,,Kyle Muller,,Shohei Ohtani
2023-03-30,718770,Final,LAD,AZ,8,2,Dodger Stadium,,Julio Urías,,Zac Gallen
2023-03-30,718767,Final,SEA,CLE,3,0,T-Mobile Park,,Luis Castillo,,Shane Bieber
2023-03-31,718771,Final,MIA,NYM,2,1,loanDepot park,,Jesús Luzardo,,David Peterson
2023-03-31,718764,Final,HOU,CWS,6,3,Minute Maid Park,,Cristian Javier,,Lance Lynn
2023-03-31,718766,Final,SD,COL,1,4,Petco Park,,Nick Martinez,,Kyle Freeland
2023-03-31,718765,Final,LAD,AZ,1,2,Dodger Stadium,,Dustin May,,Merrill Kelly
2023-03-31,718763,Final,SEA,CLE,4,9,T-Mobile Park,,Robbie Ray,,Hunter Gaddis
2023-04-01,718760,Final,HOU,CWS,6,4,Minute Maid Park,,José Urquidy,,Lucas Giolito
2023-04-01,718759,Final,STL,TOR,4,1,Busch Stadium,,Jack Flaherty,,Kevin Gausman
2023-04-01,718758,Final,CHC,MIL,1,3,Wrigley Field,,Justin Steele,,Brandon Woodruff
2023-04-01,718752,Final,TEX,PHI,16,3,Globe Life Field,,Nathan Eovaldi,,Zack Wheeler
2023-04-01,718753,Final,WSH,ATL,1,7,Nationals Park,,Josiah Gray,,Spencer Strider
2023-04-01,718762,Final,NYY,SF,5,7,Yankee Stadium,,Clarke Schmidt,,Alex Cobb
2023-04-01,718757,Final,ATH,LAA,1,13,Oakland Coliseum,,Shintaro Fujinami,,Patrick Sandoval
2023-04-01,718761,Final,BOS,BAL,9,8,Fenway Park,,Chris Sale,,Dean Kremer
2023-04-01,718756,Final,CIN,PIT,6,2,Great American Ball Park,,Nick Lodolo,,Rich Hill
2023-04-01,718754,Final,TB,DET,12,2,Tropicana Field,,Zach Eflin,,Spencer Turnbull
2023-04-01,718751,Final,KC,MIN,0,2,Kauffman Stadium,,Jordan Lyles,,Sonny Gray
2023-04-01,718755,Final,MIA,NYM,2,6,loanDepot park,,Edward Cabrera,,Tylor Megill
2023-04-01,718750,Final,SD,COL,8,4,Petco Park,,Michael Wacha,,José Ureña
2023-04-01,718749,Final,LAD,AZ,10,1,Dodger Stadium,,Clayton Kershaw,,Madison Bumgarner
2023-04-01,718746,Final,SEA,CLE,0,2,T-Mobile Park,,Logan Gilbert,,Aaron Civale
2023-04-02,718742,Final,TB,DET,5,1,Tropicana Field,,Jeffrey Springs,,Joey Wentz
2023-04-02,718748,Final,BOS,BAL,9,5,Fenway Park,,Tanner Houck,,Cole Irvin
2023-04-02,718743,Final,WSH,ATL,4,1,Nationals Park,,MacKenzie Gore,,Jared Shuster
2023-04-02,718747,Final,NYY,SF,6,0,Yankee Stadium,,Jhony Brito,,Ross Stripling
2023-04-02,718744,Final,CIN,PIT,3,1,Great American Ball Park,,Graham Ashcraft,,Vince Velasquez
2023-04-02,718741,Final,MIA,NYM,1,5,loanDepot park,,Trevor Rogers,,Kodai Senga
2023-04-02,718745,Final,KC,MIN,4,7,Kauffman Stadium,,Brad Keller,,Joe Ryan
