team,batting_war,pitching_war,total_war
PHI,26.4,21.1,47.5
LAD,32.1,14.6,46.7
NYY,32.4,13.8,46.2
AZ,33.8,11.9,45.7
SD,25.5,17.5,43.0
BAL,26.8,15.2,42.0
MIN,22.0,18.7,40.7
ATL,16.6,23.8,40.4
MIL,28.0,12.2,40.2
KC,20.7,18.2,38.9
NYM,25.2,13.7,38.9
HOU,24.8,13.5,38.3
BOS,22.3,15.8,38.1
CLE,22.1,14.0,36.1
SEA,17.2,17.2,34.4
CHC,21.2,11.9,33.1
STL,18.4,14.1,32.5
DET,15.9,14.6,30.5
TEX,17.5,12.3,29.8
SF,16.9,12.6,29.5
CIN,11.7,14.5,26.2
ATH,14.1,10.9,25.0
TOR,18.2,6.7,24.9
WSH,9.2,15.0,24.2
TB,12.9,9.7,22.6
PIT,7.8,12.8,20.6
MIA,7.5,3.8,11.3
LAA,6.5,4.3,10.8
COL,4.1,3.1,7.2
CWS,-3.8,6.4,2.6
