team,batting_war,pitching_war,total_war
LAD,35.4,21.2,56.6
TOR,30.5,17.6,48.0
NYY,30.5,17.0,47.5
NYM,31.5,15.6,47.1
SEA,29.2,17.6,46.8
PHI,25.8,20.8,46.6
ATL,28.9,17.5,46.4
BOS,24.0,22.1,46.1
BAL,30.9,14.5,45.4
DET,24.3,20.1,44.3
CHC,29.5,14.2,43.7
HOU,26.1,15.1,41.2
SD,25.8,14.8,40.6
TEX,22.9,16.5,39.5
AZ,25.6,12.3,37.9
MIN,21.8,15.1,36.9
PIT,20.0,16.6,36.6
MIL,22.6,16.0,38.6
KC,22.6,16.0,38.6
SF,26.5,12.1,38.6
TB,21.4,17.2,38.6
ATH,25.7,11.7,37.4
CLE,22.5,12.9,35.4
CIN,19.0,17.3,36.3
STL,22.0,10.0,32.0
MIA,17.6,13.5,31.1
LAA,16.8,12.9,29.7
CWS,16.1,11.5,27.5
WSH,17.2,8.4,25.6
COL,15.1,8.0,23.1
