player_id,name,team,g,pa,ab,r,h,doubles,triples,hr,rbi,bb,so,hbp,sf,sb,cs,season,avg,obp,slg,ops,woba
alvap001,Pedro Alvarez,BAL,14,34,32,4,10,1,0,1,4,2,10,0,0,0,0,2017,0.312,0.353,0.438,0.791,0.343
aquij001,Jayson Aquino,BAL,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2017,0.0,0.0,0.0,0.0,0.0
ashea001,Alec Asher,BAL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2017,0.0,0.0,0.0,0.0,0.0
beckt001,Tim Beckham,BAL,50,230,216,36,66,13,2,10,26,12,57,2,0,1,1,2017,0.306,0.348,0.523,0.871,0.37
castw002,Welington Castillo,BAL,94,365,341,44,96,11,0,20,53,22,97,0,2,0,0,2017,0.282,0.323,0.49,0.813,0.345
davic003,Chris Davis,BAL,127,524,456,65,98,15,1,26,61,61,195,3,4,1,1,2017,0.215,0.309,0.423,0.732,0.316
flahr001,Ryan Flaherty,BAL,15,43,38,4,8,1,0,0,4,4,10,1,0,0,0,2017,0.211,0.302,0.237,0.539,0.253
gausk001,Kevin Gausman,BAL,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2017,0.0,0.0,0.0,0.0,0.0
gentc001,Craig Gentry,BAL,47,117,101,13,26,5,1,2,11,11,24,1,1,4,3,2017,0.257,0.333,0.386,0.719,0.315
giavj001,Johnny Giavotella,BAL,5,10,10,0,1,0,0,0,0,0,4,0,0,1,0,2017,0.1,0.1,0.1,0.2,0.088
hardj003,J.J. Hardy,BAL,71,268,254,23,55,13,1,4,24,12,48,1,0,0,1,2017,0.217,0.255,0.323,0.578,0.252
haysa001,Austin Hays,BAL,18,63,60,4,13,3,0,1,8,2,16,0,1,0,0,2017,0.217,0.238,0.317,0.555,0.238
janip001,Paul Janish,BAL,10,28,26,0,2,0,0,0,3,1,6,0,0,0,0,2017,0.077,0.111,0.077,0.188,0.091
jimeu001,Ubaldo Jimenez,BAL,3,5,5,0,1,0,0,0,0,0,3,0,0,0,0,2017,0.2,0.2,0.2,0.4,0.176
jonea003,Adam Jones,BAL,147,635,597,82,170,28,1,26,73,27,113,7,3,2,1,2017,0.285,0.322,0.466,0.788,0.336
josec002,Caleb Joseph,BAL,79,266,254,30,65,14,1,8,28,10,72,1,0,0,0,2017,0.256,0.287,0.413,0.7,0.3
kim-h001,Hyun Soo Kim,BAL,54,142,125,11,29,4,0,1,10,12,27,2,2,0,0,2017,0.232,0.305,0.288,0.593,0.268
machm001,Manny Machado,BAL,156,690,630,81,163,33,1,33,95,50,115,1,9,9,4,2017,0.259,0.31,0.471,0.781,0.331
manct001,Trey Mancini,BAL,147,586,543,65,159,26,4,24,78,33,139,6,4,1,0,2017,0.293,0.338,0.488,0.826,0.352
milew001,Wade Miley,BAL,2,4,4,0,1,0,0,0,0,0,1,0,0,0,0,2017,0.25,0.25,0.25,0.5,0.22
nunov001,Vidal Nuno,BAL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2017,0.0,0.0,0.0,0.0,0.0
penaf001,Francisco Pena,BAL,4,10,10,3,5,0,0,2,2,0,3,0,0,0,0,2017,0.5,0.5,1.1,1.6,0.665
rickj001,Joey Rickard,BAL,97,277,261,29,63,15,0,4,19,9,63,4,1,8,0,2017,0.241,0.276,0.345,0.621,0.271
santa003,Anthony Santander,BAL,13,31,30,1,8,3,0,0,2,0,8,0,1,0,0,2017,0.267,0.258,0.367,0.625,0.262
schoj001,Jonathan Schoop,BAL,160,675,622,92,182,35,0,32,105,35,142,11,7,1,0,2017,0.293,0.338,0.503,0.841,0.357
siscc001,Chance Sisco,BAL,8,22,18,3,6,2,0,2,4,3,7,1,0,0,0,2017,0.333,0.455,0.778,1.233,0.502
smits002,Seth Smith,BAL,106,373,330,50,85,19,0,13,32,36,79,6,1,2,0,2017,0.258,0.34,0.433,0.773,0.336
tejar001,Ruben Tejada,BAL,36,124,113,17,26,6,0,0,5,8,15,2,0,0,0,2017,0.23,0.293,0.283,0.576,0.26
trumm001,Mark Trumbo,BAL,146,603,559,79,131,22,0,23,65,42,149,1,1,1,0,2017,0.234,0.289,0.397,0.686,0.296
washd001,David Washington,BAL,3,6,6,0,0,0,0,0,0,0,5,0,0,0,0,2017,0.0,0.0,0.0,0.0,0.0
yacaj001,Jimmy Yacabonis,BAL,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,2017,0.0,0.0,0.0,0.0,0.0
ynoag001,Gabriel Ynoa,BAL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2017,0.0,0.0,0.0,0.0,0.0
