player_id,name,team,g,gs,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,season,ip,era,whip,k_per_9,bb_per_9,fip
araup001,Pedro Araujo,BAL,19,0,84,28,23,23,18,29,8,129,2,1,2,0,2018,28.0,7.39,1.64,9.32,5.79,6.89
bleir001,Richard Bleier,BAL,31,0,98,36,7,7,4,15,0,133,1,3,0,0,2018,32.2,1.93,1.22,4.13,1.1,2.64
bracb001,Brad Brach,BAL,41,0,117,47,23,20,18,38,4,181,0,1,1,11,2018,39.0,4.62,1.67,8.77,4.15,3.87
britz001,Zach Britton,BAL,16,0,47,11,6,6,10,13,1,63,1,1,0,4,2018,15.2,3.45,1.34,7.47,5.74,4.38
bundd001,Dylan Bundy,BAL,30,30,515,183,109,97,52,184,37,743,6,8,15,0,2018,171.2,5.09,1.37,9.65,2.73,4.77
carrc004,Cody Carroll,BAL,15,0,51,21,17,17,13,16,6,84,0,0,2,0,2018,17.0,9.0,2.0,8.47,6.88,8.1
casha001,Andrew Cashner,BAL,28,28,459,177,97,90,65,99,25,681,3,4,15,0,2018,153.0,5.29,1.58,5.82,3.82,5.26
castm002,Miguel Castro,BAL,58,1,259,64,32,31,47,57,7,361,5,2,5,0,2018,86.1,3.23,1.29,5.94,4.9,4.64
cobba001,Alex Cobb,BAL,27,27,457,172,93,83,43,102,24,661,4,5,15,0,2018,152.1,4.9,1.41,6.03,2.54,4.73
cortn001,Nestor Cortes,BAL,4,0,14,10,4,4,4,3,2,26,0,0,0,0,2018,4.2,7.71,3.0,5.79,7.71,9.96
fry-p001,Paul Fry,BAL,35,0,113,33,20,14,15,36,1,159,4,1,2,2,2018,37.2,3.35,1.27,8.6,3.58,3.05
gausk001,Kevin Gausman,BAL,21,21,372,139,62,61,32,104,21,534,5,5,8,0,2018,124.0,4.43,1.38,7.55,2.32,4.52
gilms001,Sean Gilmartin,BAL,11,0,81,22,8,8,11,15,4,111,1,1,1,0,2018,27.0,2.67,1.22,5.0,3.67,5.25
givem001,Mychal Givens,BAL,69,0,230,61,37,34,30,79,4,317,3,0,7,9,2018,76.2,3.99,1.19,9.27,3.52,3.01
hartd002,Donnie Hart,BAL,19,0,58,28,11,10,11,13,2,95,0,0,0,0,2018,19.1,4.66,2.02,6.05,5.12,4.81
hessd001,David Hess,BAL,21,19,310,106,64,56,37,74,22,454,8,3,10,0,2018,103.1,4.88,1.38,6.45,3.22,5.74
marij001,Jhan Marinez,BAL,8,0,24,9,6,5,9,3,1,40,0,0,0,0,2018,8.0,5.62,2.25,3.38,10.12,7.35
meanj001,John Means,BAL,1,0,10,6,5,5,0,4,1,16,0,0,0,0,2018,3.1,13.5,1.8,10.8,0.0,4.6
meisr001,Ryan Meisinger,BAL,18,1,63,18,15,15,10,21,6,87,0,2,1,0,2018,21.0,6.43,1.33,9.0,4.29,6.24
odayd001,Darren O'Day,BAL,18,0,60,15,7,6,3,27,3,79,3,0,1,2,2018,20.0,2.7,0.9,12.15,1.35,3.25
ortil002,Luis Ortiz,BAL,2,1,7,7,6,4,3,0,0,18,0,0,1,0,2018,2.1,15.43,4.29,0.0,11.57,6.96
petej002,Jace Peterson,BAL,1,0,3,6,4,4,0,1,1,8,0,0,0,0,2018,1.0,36.0,6.0,9.0,0.0,14.1
phile001,Evan Phillips,BAL,3,1,16,5,7,7,1,5,1,22,1,0,1,0,2018,5.1,11.81,1.12,8.44,1.69,4.79
ramiy001,Yefry Ramirez,BAL,17,12,196,64,44,43,36,62,11,294,4,1,8,0,2018,65.1,5.92,1.53,8.54,4.96,5.23
rogej003,Josh Rogers,BAL,3,3,35,17,11,11,5,6,2,56,0,1,2,0,2018,11.2,8.49,1.89,4.63,3.86,5.59
scott003,Tanner Scott,BAL,53,0,160,55,33,32,28,76,6,240,1,3,3,0,2018,53.1,5.4,1.56,12.82,4.72,3.34
tillc001,Chris Tillman,BAL,7,7,80,42,32,31,17,13,6,137,2,1,5,0,2018,26.2,10.46,2.21,4.39,5.74,7.19
valed001,Danny Valencia,BAL,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2018,0.1,0.0,0.0,27.0,0.0,-2.9
wrigm001,Mike Wright,BAL,48,2,253,101,55,52,36,74,12,388,7,4,2,0,2018,84.1,5.55,1.62,7.9,3.84,4.72
yacaj001,Jimmy Yacabonis,BAL,12,7,120,40,25,24,18,33,8,177,5,0,2,0,2018,40.0,5.4,1.45,7.42,4.05,5.78
